Time,hour,lights,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21
11:30 AM,12,light,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15,cold 17,cold 19,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14
12:00 PM,12.5,light,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14,cold 16,cold 18,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15
12:30 PM,13,light,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15,cold 17,cold 19,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16
1:00 PM,13.5,light,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14,cold 16,cold 18,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17
1:30 PM,14,light,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15,cold 17,cold 19,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18
2:00 PM,14.5,light,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14,cold 16,cold 18,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19
2:30 PM,15,light,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15,cold 17,cold 19,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20
3:00 PM,15.5,light,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14,cold 16,cold 18,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21
3:30 PM,16,light,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15,cold 17,cold 19,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22
4:00 PM,16.5,light,cold 6,cold 8,cold 10,cold 12,cold 14,cold 16,cold 18,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23
4:30 PM,17,light,cold 7,cold 9,cold 11,cold 13,cold 15,cold 17,cold 19,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1
5:00 PM,17.5,light,cold 8,cold 10,cold 12,cold 14,cold 16,cold 18,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2
5:30 PM,18,light,cold 9,cold 11,cold 13,cold 15,cold 17,cold 19,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3
6:00 PM,18.5,light,cold 10,cold 12,cold 14,cold 16,cold 18,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4
6:30 PM,19,light,cold 11,cold 13,cold 15,cold 17,cold 19,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5
7:00 PM,19.5,light,cold 12,cold 14,cold 16,cold 18,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6
7:30 PM,20,light,cold 13,cold 15,cold 17,cold 19,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7
8:00 PM,20.5,light,cold 14,cold 16,cold 18,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8
8:30 PM,21,light,cold 15,cold 17,cold 19,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9
9:00 PM,21.5,light,cold 16,cold 18,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10
9:30 PM,22,light,cold 17,cold 19,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11
10:00 PM,22.5,dark,cold 18,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12
10:30 PM,23,dark,cold 19,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13
11:00 PM,23.5,dark,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14
11:30 PM,24,dark,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15
