curve code,temperature,growth rate original,growth rate mu,
17,20,1.325,1.325,
17,25,1.826,1.826,
18,13,0.624,0.624,
18,16,0.678,0.678,
18,20,0.695,0.695,
18,25,0.719,0.719,
19,8,0.473,0.473,
19,13,0.745,0.745,
19,16,0.898,0.898,
19,20,0.882,0.882,
19,25,0.643,0.643,
20,0,0.43,0.298053288,
20,5,0.95,0.658489822,
20,10,1.6,1.109035489,
20,15,2.22,1.538786741,
20,20,2.73,1.892291803,
20,25,2.87,1.989332408,
20,28,2.77,1.92001769,
20,30,0,0,
21,0,0.47,0.325779175,
21,5,0.94,0.65155835,
21,10,1.65,1.143692848,
21,16,2.56,1.774456782,
21,22,3.08,2.134893316,
22,7,7.5,NA,
22,10,45.3,NA,
22,15,90,NA,
22,19,100,NA,
22,25,70.8,NA,
23,3,0.104,0.104,
23,5,0.182,0.182,
23,10,0.345,0.345,
23,14.2,0.576,0.576,
23,16.8,0.631,0.631,
23,19.9,0.891,0.891,
23,25.5,1.068,1.068,
24,5,0.033,0.033,
24,11,0.18,0.18,
24,15.4,1.8,1.8,
25,20,0.2,0.2,
25,25,0.31,0.31,
25,30,0.47,0.47,
25,35,0.45,0.45,
26,20,0.17,0.17,
26,25,0.16,0.16,
26,30,0.2,0.2,
26,35,0.24,0.24,
27,18,0.37,0.37,
27,25,0.44,0.44,
27,32,0.59,0.59,
28,10,0.245,0.245,
28,15,0.322,0.322,
28,20,0.569,0.569,
28,25,0.842,0.842,
28,30,0.996,0.996,
28,35,1.112,1.112,
28,40,0.778,0.778,
29,5,0.186,0.186,
29,9,0.418,0.418,
29,10,0.566,0.566,
29,12.5,0.935,0.935,
29,15,1,1,
29,16,1.102,1.102,
29,17,1.084,1.084,
29,18,1.214,1.214,
29,19,1.232,1.232,
29,20,1.371,1.371,
29,22.5,1.336,1.336,
29,25,1.355,1.355,
30,8,0.133,0.133,
30,11.5,0.346,0.346,
30,12.5,0.411,0.411,
30,13,0.577,0.577,
30,13.5,0.457,0.457,
30,17,0.891,0.891,
30,18,0.827,0.827,
30,19,1.003,1.003,
30,20,1.05,1.05,
31,5,0.49,0.49,
31,8,0.65,0.65,
31,10,0.7,0.7,
31,15,0.8,0.8,
31,20,0.83,0.83,
32,5,0.29,0.29,
32,8,0.31,0.31,
32,10,0.47,0.47,
32,15,0.57,0.57,
32,20,0.65,0.65,
33,5,0.42,0.42,
33,8,0.64,0.64,
33,10,0.58,0.58,
33,15,0.65,0.65,
33,20,0.71,0.71,
34,5,0.066,0.045747714,
34,8,0.109,0.075553043,
34,11,0.155,0.107437813,
34,14,0.187,0.129618523,
34,17,0.232,0.160810146,
34,20,0.294,0.203785271,
34,23,0.287,0.198933241,
35,5,0.042,0.029112182,
35,8,0.073,0.050599744,
35,11,0.146,0.101199488,
35,14,0.214,0.148333497,
35,17,0.264,0.182990856,
35,20,0.321,0.222500245,
35,23,0.355,0.246067249,
36,25,0.523,1.204469,
36,30,0.724,1.667372,
36,32.5,0.857,1.973671,
36,35,0.631,1.453193,
37,25,0.693,1.595979,
37,30,1,2.303,
37,32.5,1.161,2.673783,
37,35,1.184,2.726752,
37,37.5,0.764,1.759492,
38,25,0.859,1.978277,
38,30,1.76,4.05328,
38,32.5,2.391,5.506473,
38,35,2.815,6.482945,
38,39,3.317,7.639051,
38,41,3.521,8.108863,
38,42.5,3.269,7.528507,
38,44,2.409,5.547927,
39,15,0.174,0.174,
39,20,0.497,0.497,
39,25,0.91,0.91,
39,30,1.096,1.096,
40,15,0.186,0.186,
40,20,0.589,0.589,
40,25,0.626,0.626,
40,30,0.686,0.686,
41,15,0.557,0.557,
41,20,0.811,0.811,
41,25,1.112,1.112,
41,30,1.098,1.098,
42,15,0.418,0.418,
42,20,0.715,0.715,
42,25,0.779,0.779,
42,30,0.87,0.87,
43,15,0,0,
43,20,1.174,1.174,
43,25,1.622,1.622,
43,30,1.031,1.031,
43,35,0,0,
44,5,0,0,
44,10,0.446,0.446,
44,15,0.849,0.849,
44,20,1.147,1.147,
44,25,1.34,1.34,
44,30,0.876,0.876,
44,35,0,0,
45,2,0,0,
45,5,0.218,0.218,
45,10,0.682,0.682,
45,15,1.02,1.02,
45,20,1.306,1.306,
45,25,1.492,1.492,
45,30,0.868,0.868,
45,35,0,0,
46,2,0,0,
46,5,0.623,0.623,
46,10,0.653,0.653,
46,15,0.888,0.888,
46,20,1.303,1.303,
46,25,1.127,1.127,
46,30,0,0,
47,-1,0.358,0.358,
47,0,0.548,0.548,
47,2,0.608,0.608,
47,5,0.699,0.699,
47,10,0.904,0.904,
47,15,0.947,0.947,
47,20,0,0,
48,-1.8,0.336,0.336,
48,0,0.595,0.595,
48,2,0.623,0.623,
48,5,0.781,0.781,
48,10,0.89,0.89,
48,15,0,0,
49,0,0.518,0.518,
49,2,0.444,0.444,
49,5,0.576,0.576,
49,10,0.352,0.352,
49,15,0,0,
50,-1.8,0.368,0.368,
50,0,0.316,0.316,
50,2,0.421,0.421,
50,5,0,0,
51,14,1.438,0.996745646,
51,16,1.748,1.211621272,
51,19,1.931,1.338467206,
51,21,2.118,1.468085728,
51,23,2.177,1.508981412,
51,25,1.913,1.325990556,
52,14,1.209,0.838014941,
52,16,1.397,0.968326611,
52,19,1.667,1.15547635,
52,21,1.907,1.321831673,
52,23,2.071,1.435507811,
52,25,1.784,1.23657457,
53,14,0.986,0.68344312,
53,16,1.314,0.910795395,
53,19,1.42,0.984268996,
53,21,1.397,0.968326611,
53,23,1.479,1.02516468,
53,25,1.232,0.853957326,
54,14,0.945,0.655024086,
54,16,1.091,0.756223574,
54,19,1.168,0.809595907,
54,21,1.25,0.866433976,
54,23,1.191,0.825538292,
54,25,1.091,0.756223574,
55,14,0.246,0.170514206,
55,16,0.329,0.228045422,
55,19,0.305,0.21140989,
55,21,0.27,0.187149739,
55,23,0.264,0.182990856,
55,25,0.241,0.167048471,
60,12.5,0,0,
60,14.5,0.155,0.155,
60,17.5,0.31,0.31,
60,19,0.477,0.477,
60,22,0.55,0.55,
60,23.5,0.599,0.599,
60,26,0.489,0.489,
60,28,0,0,
61,12.5,0.121,0.121,
61,14.5,0.206,0.206,
61,17.5,0.278,0.278,
61,19,0.427,0.427,
61,22,0.535,0.535,
61,23.5,0.577,0.577,
61,26,0.436,0.436,
61,28,0,0,
62,12.5,0,0,
62,14.5,0.206,0.206,
62,17.5,0.346,0.346,
62,19,0.458,0.458,
62,22,0.601,0.601,
62,23.5,0.69,0.69,
62,26,0.77,0.77,
62,28,0.8,0.8,
62,30.5,0.648,0.648,
62,32,0.417,0.417,
62,34.5,0,0,
63,2.5,0.15,0.15,
63,5.5,0.13,0.13,
63,8,0.1,0.1,
63,11,0,0,
64,2.5,0,0,
64,5.5,0,0,
64,8,0.35,0.35,
64,15,0.24,0.24,
64,17,0.24,0.24,
65,15,0.083,0.083,
65,20,0.42,0.42,
65,30,0.81,0.81,
66,15,0.22,0.22,
66,20,0.4,0.4,
66,30,0.56,0.56,
67,20,0.894,0.619673579,
67,24,1.247,0.864354534,
67,28,1.458,1.010608589,
67,32,1.662,1.152010614,
67,35,1.319,0.914261131,
68,20,0.588,0.407570542,
68,24,0.762,0.528178152,
68,28,0.833,0.577391601,
68,32,1.251,0.867127123,
68,35,0.592,0.410343131,
69,5,0,0,
69,8,0.16,0.16,
69,11,0.205,0.205,
69,14,0.25,0.25,
69,17,0.269,0.269,
69,20,0.279,0.279,
69,23,0.324,0.324,
69,26,0.324,0.324,
69,29,0.33,0.33,
69,32,0.218,0.218,
70,5,0,0,
70,8,0.173,0.173,
70,11,0.256,0.256,
70,14,0.362,0.362,
70,17,0.417,0.417,
70,20,0.59,0.59,
70,23,0.76,0.76,
70,26,0.769,0.769,
70,29,0.744,0.744,
70,32,0.535,0.535,
71,8,0,0,
71,11,0.138,0.138,
71,14,0.33,0.33,
71,17,0.506,0.506,
71,20,0.788,0.788,
71,23,0.923,0.923,
71,26,0.904,0.904,
71,29,0.917,0.917,
71,32,0.872,0.872,
72,15,0.015,0.21,
72,21,0.052,0.728,
72,27,0.07,0.98,
72,33,0.045,0.63,
72,39,0,0,
73,15,0.018,0.252,
73,21,0.051,0.714,
73,27,0.061,0.854,
73,33,0.044,0.616,
73,39,0,0,
74,15,0.014,0.196,
74,21,0.018,0.252,
74,27,0.041,0.574,
74,33,0.028,0.392,
74,39,0,0,
75,15,0,0,
75,21,0.045,0.63,
75,27,0.045,0.63,
75,33,0.044,0.616,
75,39,0.057,0.798,
76,15,0,0,
76,21,0.029,0.406,
76,27,0.033,0.462,
76,33,0.031,0.434,
76,39,0.05,0.7,
77,15,0.01,0.14,
77,21,0.009,0.126,
77,27,0.012,0.168,
77,33,0.011,0.154,
77,39,0.018,0.252,
78,15,0.058,0.812,
78,21,0.055,0.77,
78,27,0.056,0.784,
78,33,0,0,
79,15,0.071,0.994,
79,21,0.048,0.672,
79,27,0.043,0.602,
79,33,0,0,
80,15,0.041,0.574,
80,21,0.033,0.462,
80,27,0.018,0.252,
80,33,0,0,
81,15,0.017,0.238,
81,21,0.049,0.686,
81,27,0.057,0.798,
81,33,0.015,0.21,
81,39,0,0,
82,15,0.019,0.266,
82,21,0.057,0.798,
82,27,0.04,0.56,
82,33,0.016,0.224,
82,39,0,0,
83,15,0.017,0.238,
83,21,0.018,0.252,
83,27,0.008,0.112,
83,33,0,0,
84,15,0.01,0.14,
84,21,0.018,0.252,
84,27,0.028,0.392,
84,33,0,0,
85,15,0.012,0.168,
85,21,0.02,0.28,
85,27,0.027,0.378,
85,33,0,0,
86,15,0.016,0.224,
86,21,0.02,0.28,
86,27,0.009,0.126,
86,33,0,0,
87,15,0.009,0.126,
87,21,0.014,0.196,
87,27,0.031,0.434,
87,33,0,0,
88,15,0.006,0.084,
88,21,0.01,0.14,
88,27,0.017,0.238,
88,33,0,0,
89,15,0.007,0.098,
89,21,0.006,0.084,
89,27,0.005,0.07,
89,33,0,0,
90,5,0,0,
90,15,0.019,0.266,
90,20,0.033,0.462,
91,10,0.009,0.126,
91,15,0.017,0.238,
91,20,0.022,0.308,
92,10,0.01,0.14,
92,15,0.015,0.21,
92,20,0.018,0.252,
93,10,0.011,0.154,
93,15,0.022,0.308,
93,20,0.036,0.504,
94,4,0.286,0.198240094,
94,8,0.402,0.278645167,
94,12,0.481,0.333403794,
94,16,0.561,0.388855568,
94,20,0.573,0.397173334,
94,24,0.551,0.381924096,
95,4,0.178,0.123380198,
95,8,0.216,0.149719791,
95,12,0.359,0.248839838,
95,16,0.472,0.327165469,
95,20,0.174,0.120607609,
95,24,0.103,0.07139416,
96,4,0.066,0.045747714,
96,8,0.115,0.079711926,
96,12,0.186,0.128925376,
96,16,0.214,0.148333497,
96,20,0.21,0.145560908,
96,24,0.139,0.096347458,
97,10,0.28,0.28,
97,13,0.332,0.332,
97,16,0.332,0.332,
97,19,0.362,0.362,
97,21,0.44,0.44,
97,23,0.47,0.47,
97,25,0.496,0.496,
97,28,0.496,0.496,
98,10,0.246,0.246,
98,13,0.444,0.444,
98,16,0.612,0.612,
98,19,0.634,0.634,
98,21,0.776,0.776,
98,23,0.793,0.793,
98,25,0.69,0.69,
98,28,0.672,0.672,
99,10,0.177,0.177,
99,13,0.319,0.319,
99,16,0.422,0.422,
99,19,0.509,0.509,
99,21,0.56,0.56,
99,23,0.733,0.733,
99,25,0.698,0.698,
99,28,0.711,0.711,
100,10,0.353,0.353,
100,13,0.397,0.397,
100,16,0.362,0.362,
100,19,0.517,0.517,
100,21,0.444,0.444,
100,23,0.409,0.409,
100,25,0.392,0.392,
100,28,0.375,0.375,
101,34,0.028,0.392,
101,35,0.028,0.392,
101,39,0.032,0.448,
101,40,0.036,0.504,
101,43,0.046,0.644,
101,44,0.053,0.742,
101,50,0.041,0.574,
101,51,0.043,0.602,
101,55,0.019,0.266,
101,56,0.014,0.196,
101,57,0,0,
102,8,0,0,
102,8,0,0,
102,8,0,0,
102,11,0,0,
102,11,0.05,0.05,
102,14,0.318,0.318,
102,14,0.381,0.381,
102,14,0.444,0.444,
102,17,0.476,0.476,
102,17,0.54,0.54,
102,17,0.604,0.604,
102,20,0.604,0.604,
102,20,0.604,0.604,
102,20,0.805,0.805,
102,23,0.826,0.826,
102,23,0.667,0.667,
102,23,0.656,0.656,
102,26,0.656,0.656,
102,26,0.752,0.752,
102,26,0.815,0.815,
102,29,0.678,0.678,
102,29,0.805,0.805,
102,29,0.836,0.836,
102,32,0.614,0.614,
102,32,0.773,0.773,
102,32,0.879,0.879,
105,5,0,0,
105,5,0,0,
105,5,0,0,
105,8,0.211,0.211,
105,8,0.253,0.253,
105,8,0.284,0.284,
105,11,0.505,0.505,
105,11,0.505,0.505,
105,11,0.505,0.505,
105,14,0.621,0.621,
105,14,0.674,0.674,
105,14,0.642,0.642,
105,17,0.832,0.832,
105,17,0.853,0.853,
105,17,0.863,0.863,
105,20,0.926,0.926,
105,20,0.978,0.978,
105,20,0.958,0.958,
105,23,0.958,0.958,
105,23,1.07,1.07,
105,23,1.14,1.14,
105,26,1.168,1.168,
105,26,1.2,1.2,
105,26,1.253,1.253,
105,29,1.168,1.168,
105,29,1.095,1.095,
105,29,1.095,1.095,
105,32,1.179,1.179,
105,32,1.189,1.189,
105,32,1.2,1.2,
108,5,0,0,
108,5,0,0,
108,5,0,0,
108,8,0,0,
108,8,0.032,0.032,
108,11,0.086,0.086,
108,11,0.15,0.15,
108,11,0.086,0.086,
108,14,0.257,0.257,
108,14,0.289,0.289,
108,14,0.354,0.354,
108,17,0.632,0.632,
108,17,0.654,0.654,
108,17,0.686,0.686,
108,20,0.686,0.686,
108,20,0.857,0.857,
108,20,0.911,0.911,
108,23,1.029,1.029,
108,23,1.093,1.093,
108,23,1.157,1.157,
108,26,1.082,1.082,
108,26,1.125,1.125,
108,26,1.243,1.243,
108,29,1.018,1.018,
108,29,1.093,1.093,
108,29,1.146,1.146,
108,32,1.05,1.05,
108,32,1.093,1.093,
108,32,1.168,1.168,
111,12.5,0,0,
111,13,0.12,0.083177662,
111,16,1.7,1.178350207,
111,19,1.6,1.109035489,
111,23,2.2,1.524923797,
111,25,3,2.079441542,
111,28,2.6,1.802182669,
111,31,2.4,1.663553233,
111,33.5,1.985,1.375897153,
111,36,0,0,
112,15,0,0,
112,17,0.3,0.207944154,
112,21,1.5,1.039720771,
112,24,1.6,1.109035489,
112,27,1.2,0.831776617,
112,31,2.4,1.663553233,
112,34,0,0,
113,8,0.069,0.069,
113,14,0.192,0.192,
113,20,0.591,0.591,
113,26,0.342,0.342,
114,20,0.0377,0.5278,
114,22,0.0478,0.6692,
114,25,0.0525,0.735,
114,28,0.0534,0.7476,
114,31,0.0283,0.3962,
114,33,0,0,
115,12,0.477,0.477,
115,12,0.538,0.538,
115,16,0.991,0.991,
115,16,0.996,0.996,
115,18,1.15,1.15,
115,18,1.17,1.17,
115,28,2.19,2.19,
115,28,2.24,2.24,
117,20,0.087,0.087,
117,23,0.095,0.095,
117,25,0.082,0.082,
117,27,0.077,0.077,
117,30,0.061,0.061,
118,5,0.017,0.011783502,
118,10,0.45,0.311916231,
118,15,0.511,0.354198209,
118,20,0.996,0.690374592,
118,25,0.711,0.492827645,
118,30,0.636,0.440841607,
119,5,0.01,0.006931472,
119,10,0.207,0.143481466,
119,15,0.625,0.433216988,
119,20,1.169,0.810289054,
119,25,0.744,0.515701502,
119,30,0.01,0.006931472,
120,1,0,0,
120,4,0.202,0.14001573,
120,15,0.691,0.478964702,
120,23.5,1.231,0.853264179,
121,5,0.262,0.181604561,
121,10,0.357,0.247453543,
121,15,0.749,0.519167238,
121,20,1.047,0.725725098,
121,25,1.002,0.694533475,
121,30,0.799,0.553824597,
122,5,0.262,0.181604561,
122,10,0.56,0.388162421,
122,15,1.147,0.795039816,
122,20,1.919,1.330149439,
122,25,1.381,0.957236256,
122,30,1.223,0.847719002,
123,5,0.357,0.247453543,
123,10,0.623,0.431830693,
123,15,1.305,0.904557071,
123,20,1.856,1.286481167,
123,25,1.445,1.001597676,
123,30,1.381,0.957236256,
124,5,0.384,0.266168517,
124,10,0.984,0.682056826,
124,15,1.381,0.957236256,
124,20,1.49,1.032789299,
124,25,1.223,0.847719002,
124,30,1.35,0.935748694,
125,5,0.415,0.28765608,
125,10,1.047,0.725725098,
125,15,1.318,0.913567984,
125,20,1.4,0.970406053,
125,25,1.427,0.989121027,
125,30,1.395,0.966940317,
126,5,0.433,0.300132729,
126,10,1.002,0.694533475,
126,15,1.034,0.716714185,
126,20,1.336,0.926044633,
126,25,1.395,0.966940317,
126,30,1.336,0.926044633,
127,5,0.357,0.247453543,
127,10,0.655,0.454011403,
127,15,0.971,0.673045912,
127,20,1.16,0.804050729,
127,25,1.332,0.923272045,
127,30,1.305,0.904557071,
128,5,0.307,0.212796184,
128,10,0.591,0.409649984,
128,15,0.858,0.594720281,
128,20,0.971,0.673045912,
128,25,1.305,0.904557071,
128,30,1.21,0.838708088,
129,5,0.199,0.137936289,
129,10,0.497,0.344494149,
129,15,0.641,0.444307343,
129,20,0.862,0.59749287,
129,25,1.21,0.838708088,
129,30,1.21,0.838708088,
130,5,0.117,0.08109822,
130,10,0.321,0.222500245,
130,15,0.673,0.466488053,
130,25,0.907,0.628684493,
130,30,0.862,0.59749287,
131,15,0.72,0.72,
131,20,0.98,0.98,
131,25,1.36,1.36,
131,30,1.55,1.55,
131,35,1.73,1.73,
132,15,0.47,0.47,
132,20,0.75,0.75,
132,25,1.16,1.16,
132,30,1.59,1.59,
132,35,1.64,1.64,
133,15,0.048,0.048,
133,20,0.44,0.44,
133,25,0.7,0.7,
133,30,0.88,0.88,
133,35,1,1,
134,15,0.37,0.37,
134,20,0.4,0.4,
134,25,0.6,0.6,
134,30,0.48,0.48,
135,15,0.36,0.36,
135,20,0.37,0.37,
135,25,0.41,0.41,
135,30,0.52,0.52,
136,15,0.31,0.31,
136,20,0.35,0.35,
136,25,0.45,0.45,
136,30,0.44,0.44,
137,15,0.36,0.36,
137,20,0.44,0.44,
137,25,0.46,0.46,
137,30,0.41,0.41,
138,15,0.36,0.36,
138,20,0.44,0.44,
138,25,0.43,0.43,
138,30,0.37,0.37,
139,15,0.35,0.35,
139,20,0.41,0.41,
139,25,0.42,0.42,
139,30,0.38,0.38,
140,7,1,0.693147181,
140,10,1.6,1.109035489,
140,15,1.9,1.316979643,
140,20,2.3,1.594238515,
141,13,1.271,0.880990066,
141,20,2.139,1.482641819,
141,27,2.503,1.734947393,
141,30,1.676,1.161714675,
141,32,0,0,
142,15,0,0,
142,15,0,0,
142,20,0.647,0.448466226,
142,20,0.886,0.614128402,
142,24,1.007,0.697999211,
142,24,1.082,0.749985249,
142,28,0.926,0.641854289,
142,28,1.234,0.855343621,
142,31,0.834,0.578084749,
142,31,0.824,0.571153277,
144,16,0,0,
144,16,0,0,
144,21,0.721,0.499759117,
144,21,0.737,0.510849472,
144,24,0.991,0.686908856,
144,24,1.028,0.712555302,
144,27,1.07,0.741667483,
144,27,1.155,0.800584994,
144,30,0.404,0.280031461,
144,30,0.537,0.372220036,
144,32,0,0,
144,32,0,0,
146,15,0,0,
146,15,0,0,
146,19,0.887,0.614821549,
146,19,0.928,0.643240584,
146,23,1.408,0.97595123,
146,23,1.462,1.013381178,
146,27,1.535,1.063980922,
146,27,1.542,1.068832952,
146,30,1.194,0.827617734,
146,30,1.194,0.827617734,
146,33,0,0,
146,33,0,0,
148,15,0,0,
148,15,0,0,
148,19,1.131,0.783949461,
148,19,1.165,0.807516465,
148,23,1.604,1.111808078,
148,23,1.693,1.173498177,
148,27,1.671,1.158248939,
148,27,1.44,0.99813194,
148,30,0.963,0.667500735,
148,30,0.984,0.682056826,
148,33,0,0,
148,33,0,0,
150,20,1.963,1.360647915,
150,20,2.414,1.673257294,
150,25,2.961,2.052408802,
150,25,3.105,2.152221996,
150,29,3.652,2.531373503,
150,29,3.688,2.556326802,
150,33,4.09,2.834971968,
150,33,4.522,3.13441155,
150,36,4.058,2.812791259,
150,36,4.113,2.850914354,
150,40,0,0,
150,40,0,0,
152,20,3.489,2.418390513,
152,20,4.297,2.978453435,
152,25,4.817,3.338889969,
152,25,5.555,3.850432588,
152,29,6.353,4.403564038,
152,29,6.284,4.355736883,
152,33,5.767,3.99737979,
152,33,5.536,3.837262792,
152,37,5.274,3.65565823,
152,37,4.79,3.320174995,
152,40,0,0,
152,40,0,0,
154,20,2.981,2.066271745,
154,20,3.12,2.162619203,
154,25,3.179,2.203514887,
154,25,3.271,2.267284428,
154,29,4.091,2.835665116,
154,29,4.207,2.916070189,
154,33,4.775,3.309777787,
154,33,5.398,3.741608481,
154,37,3.751,2.599995074,
154,37,3.635,2.519590001,
154,40,0,0,
154,40,0,0,
156,10,0.413,0.413,
156,15,0.763,0.763,
156,20,0.987,0.987,
156,25,1.113,1.113,
156,30,1.274,1.274,
156,35,1.148,1.148,
157,10,0.217,0.217,
157,15,0.399,0.399,
157,20,0.504,0.504,
157,25,0.742,0.742,
157,30,0.644,0.644,
157,35,0.497,0.497,
158,10,0.217,0.217,
158,15,0.301,0.301,
158,20,0.441,0.441,
158,25,0.581,0.581,
158,30,0.42,0.42,
158,35,0.217,0.217,
159,10,0.399,0.399,
159,15,0.616,0.616,
159,20,0.735,0.735,
159,25,0.938,0.938,
159,30,1.288,1.288,
159,35,1.302,1.302,
160,25,0.81,0.81,
160,27,0.97,0.97,
160,30,0.89,0.89,
160,33,0.68,0.68,
160,35,-0.04,-0.04,
161,25,0.53,0.53,
161,27,0.56,0.56,
161,30,0.54,0.54,
161,33,0.43,0.43,
161,35,-0.01,-0.01,
162,25,0.35,0.35,
162,27,0.3,0.3,
162,30,0.23,0.23,
162,33,0.15,0.15,
162,35,-0.01,-0.01,
163,25,0.33,0.33,
163,27,0.33,0.33,
163,30,0.27,0.27,
163,33,-0.01,-0.01,
164,25,0.74,0.74,
164,27,0.84,0.84,
164,30,0.87,0.87,
164,33,0.76,0.76,
164,35,0.78,0.78,
165,4,0.42,0.42,
165,10,0.54,0.54,
165,20,1.22,1.22,
166,4,0,0,
166,10,0.43,0.43,
166,20,1.06,1.06,
167,4,0.25,0.25,
167,10,0.45,0.45,
167,20,0.95,0.95,
168,4,0,0,
168,10,0,0,
168,15,0.08,0.08,
168,20,0.58,0.58,
169,8,0.49,0.49,
169,17,1.51,1.51,
169,25,1.747,1.747,
170,13,0.017,0.238,
170,18,0.024,0.336,
170,24,0.049,0.686,
170,28,0.053,0.742,
170,31,0.047,0.658,
171,12.3,0.44,0.304984759,
171,16.3,0.81,0.561449216,
171,20,1.15,0.797119258,
172,12.3,0.64,0.443614196,
172,16,1.35,0.935748694,
172,19.5,1.58,1.095172545,
172,20,1.77,1.22687051,
172,21,1.9,1.316979643,
172,25,2.32,1.608101459,
173,20,0.68,0.471340083,
174,20.5,2.21,1.531855269,
175,20,2.64,1.829908557,
176,15,-0.16,-0.16,
176,20,0.38,0.38,
176,25,0.38,0.38,
176,30,0.31,0.31,
176,35,0.08,0.08,
177,10,0.2,0.2,
177,15,0.38,0.38,
177,20,0.34,0.34,
177,25,0.35,0.35,
177,30,-0.01,-0.01,
178,10,0.11,0.11,
178,15,0.27,0.27,
178,20,0.55,0.55,
178,25,0.4,0.4,
178,30,0.34,0.34,
178,35,0.13,0.13,
179,10,0.09,0.09,
179,15,0.36,0.36,
179,20,0.55,0.55,
179,25,0.69,0.69,
179,30,0.69,0.69,
179,35,0.02,0.02,
180,10,0.221,0.153185527,
180,16,0.656,0.45470455,
180,22.5,0.822,0.569766982,
180,31,0.438,0.303598465,
181,10,0.251,0.173979942,
181,16,0.299,0.207251007,
181,17.5,0.252,0.17467309,
181,22.5,0.041,0.028419034,
181,31,0,0,
182,10,0.117,0.08109822,
182,16,0.444,0.307757348,
182,22.5,0.484,0.335483235,
182,31,0.38,0.263395929,
183,10,0.048,0.033271065,
183,16,0.07,0.048520303,
183,22.5,0.079,0.054758627,
183,31,0,0,
184,5.5,0.735,0.735,
184,18.5,1.916,1.916,
185,10,0.071,0.071,
185,15,0.135,0.135,
185,20,0.17,0.17,
185,25,0.219,0.219,
185,30,0.331,0.331,
185,35,0.178,0.178,
186,10,0.109,0.109,
186,15,0.186,0.186,
186,20,0.243,0.243,
186,25,0.318,0.318,
186,30,0.438,0.438,
186,35,0.289,0.289,
187,15,0.245,0.245,
187,20,0.333,0.333,
187,25,0.358,0.358,
187,30,0.458,0.458,
187,35,0.416,0.416,
188,15,0.291,0.291,
188,20,0.378,0.378,
188,25,0.418,0.418,
188,30,0.488,0.488,
188,35,0.448,0.448,
188,40,0.295,0.295,
