file_name,replicate,temp,rep,var,sample_day,cell_density,start_time,date,time,cell_volume,total_biovolume,keep,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CI_05_summary,24CI,24,I,constant temperature,05,1178,2017-02-18T16:44:37Z,2017-02-18,16:44:37,1297.82,1528831.96,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CI_06_summary,24CI,24,I,constant temperature,06,1176,2017-02-18T16:49:44Z,2017-02-18,16:49:44,812.98,956064.48,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CII_01_summary,24CII,24,II,constant temperature,01,719,2017-02-18T16:24:15Z,2017-02-18,16:24:15,846.16,608389.0399999999,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CII_02_summary,24CII,24,II,constant temperature,02,973,2017-02-18T16:29:10Z,2017-02-18,16:29:10,796.23,774731.79,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CII_03_summary,24CII,24,II,constant temperature,03,1283,2017-02-18T16:36:38Z,2017-02-18,16:36:38,647.82,831153.06,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CII_04_summary,24CII,24,II,constant temperature,04,1281,2017-02-18T16:41:32Z,2017-02-18,16:41:32,744.39,953563.59,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CII_05_summary,24CII,24,II,constant temperature,05,1281,2017-02-18T16:46:24Z,2017-02-18,16:46:24,964.42,1235422.02,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CII_06_summary,24CII,24,II,constant temperature,06,973,2017-02-18T16:51:39Z,2017-02-18,16:51:39,678.07,659762.1100000001,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CIII_01_summary,24CIII,24,III,constant temperature,01,768,2017-02-18T16:25:49Z,2017-02-18,16:25:49,832.41,639290.88,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CIII_02_summary,24CIII,24,III,constant temperature,02,1127,2017-02-18T16:31:03Z,2017-02-18,16:31:03,1408.01,1586827.27,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
