temp,variability,sample_day,replicate,cell_density,time_since_innoc_hours,keep
24,c,4,2,469,4.278611111111111,yes
24,c,4,3,350,4.308333333333334,yes
24,c,5,1,937,4.375,yes
24,c,5,2,343,4.405277777777778,yes
24,c,5,3,616,4.434444444444445,yes
24,c,5,4,971,4.461944444444445,yes
27,c,1,1,400,3.2305555555555556,yes
27,c,1,2,991,3.2619444444444445,yes
27,c,1,3,323,3.2822222222222224,yes
27,c,1,4,550,3.3425,yes
27,c,2,2,269,3.3963888888888887,yes
27,c,2,3,377,3.417222222222222,yes
27,c,2,4,907,3.4455555555555555,yes
27,c,3,1,430,3.5025,yes
27,c,3,2,807,3.5241666666666664,yes
27,c,3,3,592,0.6102777777777778,yes
27,c,3,4,592,0.6361111111111111,yes
27,c,4,1,592,0.6605555555555556,yes
27,c,4,2,699,0.6886111111111111,yes
27,c,4,3,645,0.7144444444444444,yes
27,c,4,4,1667,0.745,yes
27,c,5,1,7853,0.7752777777777777,yes
27,c,5,2,914,0.8163888888888889,yes
27,c,5,3,1076,0.8380555555555556,yes
27,c,5,4,699,0.8602777777777778,yes
5,c,1,1,569,5.820833333333334,yes
5,c,1,2,136,5.8469444444444445,yes
5,c,1,3,778,5.875,yes
5,c,1,4,568,5.901666666666666,yes
5,c,2,1,247,5.929166666666666,yes
5,c,2,2,448,5.9558333333333335,yes
5,c,2,3,348,5.983888888888889,yes
5,c,2,4,852,6.010555555555555,yes
5,c,3,1,289,6.0377777777777775,yes
5,c,3,2,584,6.066111111111111,yes
5,c,3,3,1146,4.489166666666667,yes
5,c,3,4,672,4.511666666666667,yes
5,c,4,1,365,4.533055555555555,yes
5,c,4,2,1108,4.554444444444444,yes
5,c,4,3,952,4.575833333333334,yes
5,c,4,4,924,4.598055555555556,yes
5,c,5,1,596,4.620833333333334,yes
5,c,5,2,729,4.648888888888889,yes
5,c,5,3,781,4.675277777777778,yes
5,c,5,4,1038,4.703333333333333,yes
10,c,4,1,377,1.6619444444444444,yes
10,c,5,2,699,1.8494444444444444,yes
10,c,5,4,913,1.9136111111111112,yes
16,c,2,3,428,0.5047222222222222,yes
20,c,3,3,1291,0.8925,yes
24,c,3,2,388,2.9466666666666668,yes
24,c,4,4,353,4.338333333333333,yes
27,c,2,1,659,3.3641666666666667,yes
10,c,1,1,656,26.397222222222222,yes
16,c,1,1,680,26.189444444444444,yes
16,c,1,2,444,26.216666666666665,yes
20,c,1,1,1294,26.006944444444443,yes
20,c,1,4,1294,26.104166666666668,yes
24,c,1,1,2481,25.484444444444446,yes
24,c,1,2,2335,25.514722222222222,yes
27,c,1,1,1909,25.126944444444444,yes
27,c,1,2,3102,25.15972222222222,yes
27,c,1,3,1704,25.19333333333333,yes
27,c,1,4,2151,25.226111111111113,yes
5,c,1,3,325,26.92527777777778,yes
5,c,1,4,496,26.9575,yes
10,c,1,2,523,26.425833333333333,yes
10,c,1,3,740,26.46388888888889,yes
10,c,1,4,337,26.5175,yes
16,c,1,3,951,26.244722222222222,yes
16,c,1,4,1284,26.279722222222222,yes
20,c,1,2,988,26.037222222222223,yes
20,c,1,3,1153,26.07,yes
24,c,1,3,2019,25.61138888888889,yes
24,c,1,4,1314,25.6675,yes
5,c,1,1,234,26.842777777777776,yes
5,c,1,2,188,26.891666666666666,yes
27,c,1,1,26203,53.140277777777776,yes
27,c,1,3,26171,53.21083333333333,yes
27,c,1,2,25566,53.17333333333333,yes
27,c,1,4,24307,53.23972222222222,yes
10,c,1,1,1543,50.40277777777778,yes
10,c,1,2,1233,50.431666666666665,yes
10,c,1,3,2455,50.46083333333333,yes
10,c,1,4,1381,50.49166666666667,yes
16,c,1,1,10783,50.00138888888889,yes
16,c,1,2,8958,50.03611111111111,yes
16,c,1,3,9654,50.06861111111111,yes
16,c,1,4,12889,50.09861111111111,yes
20,c,1,1,17561,49.86138888888889,yes
20,c,1,2,14853,49.8925,yes
20,c,1,3,17264,49.92611111111111,yes
20,c,1,4,17948,49.960277777777776,yes
24,c,1,1,20975,49.71888888888889,yes
24,c,1,3,22145,49.79277777777778,yes
24,c,1,4,22504,49.825833333333335,yes
24,c,1,2,21419,49.75111111111111,yes
27,c,1,1,12214,44.941944444444445,yes
27,c,1,2,17171,44.992777777777775,yes
27,c,1,3,14081,45.03055555555556,yes
27,c,1,4,11207,45.06861111111111,yes
5,c,1,1,583,50.791666666666664,yes
5,c,1,2,447,50.82861111111111,yes
5,c,1,3,428,50.86138888888889,yes
5,c,1,4,733,50.897222222222226,yes
10,c,2,4,7739,75.38666666666667,yes
16,c,2,1,21409,74.76916666666666,yes
16,c,2,2,20162,74.79833333333333,yes
16,c,2,3,17598,74.82805555555555,yes
16,c,2,4,20405,74.85916666666667,yes
5,c,2,2,1011,75.45805555555556,yes
10,c,2,1,7632,75.2713888888889,yes
10,c,2,2,8920,75.31027777777778,yes
10,c,2,3,3354,75.34694444444445,yes
5,c,2,1,819,75.42166666666667,yes
5,c,2,3,857,75.48944444444444,yes
5,c,2,4,873,75.52694444444444,yes
5,c,2,1,1361,99.12861111111111,yes
5,c,2,2,458,99.16388888888889,yes
5,c,2,3,414,99.20055555555555,yes
5,c,2,4,264,99.23527777777778,yes
10,c,3,3,8550,93.54861111111111,yes
10,c,3,1,5311,93.47055555555555,yes
10,c,3,2,11108,93.50916666666667,yes
10,c,3,4,7455,93.57944444444445,yes
10,c,3,1,15645,125.52638888888889,yes
10,c,3,2,19219,125.56694444444445,yes
10,c,3,3,17575,125.61138888888888,yes
10,c,3,4,17431,125.64916666666667,yes
5,c,2,1,3448,148.27916666666667,yes
5,c,2,2,2319,148.31444444444443,yes
5,c,2,3,2323,148.35194444444446,yes
5,c,2,4,3053,148.38833333333332,yes
5,c,3,1,1903,147.62583333333333,yes
5,c,3,2,1993,147.66222222222223,yes
5,c,3,3,2542,147.71,yes
5,c,3,4,4646,147.75083333333333,yes
5,c,4,3,6128,173.01361111111112,yes
5,c,4,4,10616,173.04527777777778,yes
5,c,4,1,12214,172.92805555555555,yes
5,c,4,2,9055,172.97083333333333,yes
20,c,NA,NA,1228,0.8008333333333333,yes
20,c,NA,NA,850,0.83,yes
20,c,NA,NA,1041,0.8577777777777778,yes
20,c,NA,NA,798,0.8852777777777778,yes
20,c,NA,NA,1139,0.915,yes
20,c,NA,NA,1054,0.9472222222222222,yes
20,c,NA,NA,584,0.9819444444444444,yes
20,c,NA,NA,1171,1.0097222222222222,yes
20,c,NA,NA,729,1.0372222222222223,yes
20,c,NA,NA,833,1.0666666666666667,yes
20,c,NA,NA,1013,1.0958333333333334,yes
24,c,NA,NA,667,2.560277777777778,yes
24,c,NA,NA,814,2.602777777777778,yes
24,c,NA,NA,1305,2.631111111111111,yes
24,c,NA,NA,1063,2.6619444444444444,yes
24,c,NA,NA,825,2.6911111111111112,yes
24,c,NA,NA,768,2.72,yes
24,c,NA,NA,381,2.752222222222222,yes
24,c,NA,NA,703,2.7841666666666667,yes
24,c,NA,NA,723,2.8555555555555556,yes
24,c,NA,NA,534,2.825277777777778,yes
24,c,NA,NA,1102,2.8847222222222224,yes
24,c,NA,NA,1054,2.9141666666666666,yes
29,c,NA,NA,1304,0.005277777777777778,yes
29,c,NA,NA,951,0.034166666666666665,yes
29,c,NA,NA,743,0.0661111111111111,yes
29,c,NA,NA,1085,0.1713888888888889,yes
29,c,NA,NA,872,0.09416666666666666,yes
29,c,NA,NA,1275,0.20166666666666666,yes
29,c,NA,NA,1357,0.2475,yes
29,c,NA,NA,1454,0.2841666666666667,yes
29,c,NA,NA,789,0.31222222222222223,yes
29,c,NA,NA,745,0.3411111111111111,yes
29,c,NA,NA,777,0.36916666666666664,yes
29,c,NA,NA,740,0.4152777777777778,yes
29,c,NA,NA,755,0.44555555555555554,yes
29,c,NA,NA,623,0.4738888888888889,yes
29,c,NA,NA,865,0.5102777777777778,yes
29,c,NA,NA,1085,0.5386111111111112,yes
29,c,NA,NA,1526,0.5666666666666667,yes
29,c,NA,NA,856,0.5975,yes
29,c,NA,NA,931,0.6663888888888889,yes
29,c,NA,NA,688,0.6386111111111111,yes
29,c,NA,NA,883,0.705,yes
20,c,NA,NA,2787,32.54277777777778,yes
20,c,NA,NA,2232,32.57138888888889,yes
20,c,NA,NA,2711,32.60055555555556,yes
20,c,NA,NA,3799,32.630833333333335,yes
24,c,NA,NA,5721,32.396388888888886,yes
24,c,NA,NA,4379,32.425555555555555,yes
24,c,NA,NA,5556,32.455555555555556,yes
24,c,NA,NA,5793,32.485277777777775,yes
29,c,NA,NA,4512,31.504444444444445,yes
29,c,NA,NA,2343,31.534166666666668,yes
29,c,NA,NA,3716,31.566388888888888,yes
29,c,NA,NA,1045,31.59611111111111,yes
20,c,NA,NA,1559,29.045833333333334,yes
20,c,NA,NA,2315,29.075277777777778,yes
20,c,NA,NA,2534,29.10333333333333,yes
20,c,NA,NA,2877,29.1325,yes
24,c,NA,NA,3119,28.581944444444446,yes
24,c,NA,NA,2469,28.610555555555557,yes
24,c,NA,NA,2327,28.64611111111111,yes
24,c,NA,NA,2905,28.674444444444443,yes
20,c,NA,NA,1011,23.74361111111111,yes
20,c,NA,NA,1228,23.779444444444444,yes
20,c,NA,NA,468,23.809166666666666,yes
20,c,NA,NA,861,23.839444444444446,yes
24,c,NA,NA,1662,23.4375,yes
24,c,NA,NA,1140,23.575833333333332,yes
24,c,NA,NA,1676,23.466666666666665,yes
24,c,NA,NA,750,23.628888888888888,yes
24,c,NA,NA,1716,23.495833333333334,yes
24,c,NA,NA,1368,23.656944444444445,yes
24,c,NA,NA,807,23.523888888888887,yes
24,c,NA,NA,2056,23.68638888888889,yes
29,c,NA,NA,1271,23.289444444444445,yes
29,c,NA,NA,1443,23.31861111111111,yes
29,c,NA,NA,1445,23.346944444444443,yes
29,c,NA,NA,364,23.37388888888889,yes
29,c,NA,NA,13574,54.590555555555554,yes
29,c,NA,NA,8617,54.619166666666665,yes
29,c,NA,NA,10005,54.64833333333333,yes
29,c,NA,NA,11206,54.67666666666667,yes
20,c,NA,NA,9753,50.3125,yes
20,c,NA,NA,8764,50.34111111111111,yes
20,c,NA,NA,12086,50.370555555555555,yes
20,c,NA,NA,12194,50.40277777777778,yes
24,c,NA,NA,11592,49.717777777777776,yes
24,c,NA,NA,15855,49.74805555555555,yes
24,c,NA,NA,13227,49.77722222222222,yes
24,c,NA,NA,10996,49.80638888888889,yes
29,c,NA,NA,7651,50.02777777777778,yes
29,c,NA,NA,5291,50.056666666666665,yes
29,c,NA,NA,7926,50.084722222222226,yes
29,c,NA,NA,7884,50.11333333333334,yes
20,c,NA,NA,7122,47.07944444444445,yes
20,c,NA,NA,9436,47.110277777777775,yes
20,c,NA,NA,11014,47.14,yes
20,c,NA,NA,8019,47.17,yes
24,c,NA,NA,14210,46.628055555555555,yes
24,c,NA,NA,14008,46.658055555555556,yes
24,c,NA,NA,13937,46.68638888888889,yes
24,c,NA,NA,13223,46.716388888888886,yes
29,c,NA,NA,10608,47.384166666666665,yes
29,c,NA,NA,8842,47.41416666666667,yes
29,c,NA,NA,6694,47.443333333333335,yes
29,c,NA,NA,13045,47.47222222222222,yes
0,c,1,1,728,-0.0019444444444444444,yes
0,c,1,2,1240,0.014722222222222222,yes
0,c,1,3,831,0.04805555555555555,yes
0,c,1,4,742,0.06472222222222222,yes
0,c,1,5,905,0.09805555555555556,yes
0,c,2,1,785,0.11472222222222223,yes
0,c,2,2,508,0.14805555555555555,yes
0,c,2,3,1056,0.18138888888888888,yes
0,c,2,4,1081,0.19805555555555557,yes
0,c,2,5,821,0.2313888888888889,yes
0,c,3,1,723,-0.30194444444444446,yes
0,c,3,2,730,-0.26861111111111113,yes
0,c,3,3,1192,-0.23527777777777778,yes
0,c,3,4,952,-0.21861111111111112,yes
0,c,3,5,999,-0.1852777777777778,yes
0,c,4,1,871,-0.15194444444444444,yes
0,c,4,2,654,-0.13527777777777777,yes
0,c,4,3,1382,-0.08527777777777777,yes
0,c,4,4,926,-0.06861111111111111,yes
0,c,4,5,880,-0.035277777777777776,yes
32,c,1,1,613,0.2813888888888889,yes
32,c,1,2,1180,0.2980555555555556,yes
32,c,1,3,1017,0.31472222222222224,yes
32,c,1,4,703,0.34805555555555556,yes
32,c,1,5,704,0.3813888888888889,yes
32,c,2,1,806,0.39805555555555555,yes
32,c,2,2,647,0.4313888888888889,yes
32,c,2,3,562,0.44805555555555554,yes
32,c,2,4,970,0.48138888888888887,yes
32,c,2,5,276,0.49805555555555553,yes
32,c,3,1,1201,0.5147222222222222,yes
32,c,3,2,1041,0.5480555555555555,yes
32,c,3,3,692,0.5647222222222222,yes
32,c,3,4,949,0.5980555555555556,yes
32,c,3,5,1128,0.6147222222222222,yes
32,c,4,1,478,0.6480555555555556,yes
32,c,4,2,529,0.6647222222222222,yes
32,c,4,3,839,0.6980555555555555,yes
32,c,4,4,562,0.7147222222222223,yes
32,c,4,5,683,0.7480555555555556,yes
32,c,1,1,970,24.598055555555554,yes
32,c,2,1,994,24.614722222222223,yes
32,c,3,1,1310,24.648055555555555,yes
32,c,4,1,199,24.68138888888889,yes
32,c,2,1,763,67.38138888888889,yes
32,c,2,2,420,67.41472222222222,yes
32,c,2,3,1078,67.43138888888889,yes
0,c,1,1,601,122.46472222222222,yes
0,c,2,1,764,122.49805555555555,yes
0,c,3,1,1058,122.54805555555555,yes
0,c,4,1,858,122.5813888888889,yes
32,c,1,3,563,122.23138888888889,yes
32,c,2,3,551,122.29805555555555,yes
32,c,3,3,434,122.3313888888889,yes
32,c,4,3,394,122.36472222222223,yes
