temp,variability,sample_day,replicate,cell_density,time_since_innoc_hours,keep,sample_group
24,c,NA,NA,13227,49.77722222,yes,7
24,c,1,3,22145,49.79277778,yes,7
24,c,NA,NA,10996,49.80638889,yes,7
24,c,1,4,22504,49.82583333,yes,7
27,c,3,3,592,0.610277778,yes,1
27,c,3,4,592,0.636111111,yes,1
27,c,4,1,592,0.660555556,yes,1
27,c,4,2,699,0.688611111,yes,1
27,c,4,3,645,0.714444444,yes,1
27,c,4,4,1667,0.745,yes,1
27,c,5,1,7853,0.775277778,yes,1
27,c,5,2,914,0.816388889,yes,1
27,c,5,3,1076,0.838055556,yes,1
27,c,5,4,699,0.860277778,yes,1
27,c,1,1,400,3.230555556,yes,1
27,c,1,2,991,3.261944444,yes,1
27,c,1,3,323,3.282222222,yes,1
27,c,1,4,550,3.3425,yes,1
27,c,2,1,659,3.364166667,yes,1
27,c,2,2,269,3.396388889,yes,1
27,c,2,3,377,3.417222222,yes,1
27,c,2,4,907,3.445555556,yes,1
27,c,3,1,430,3.5025,yes,1
27,c,3,2,807,3.524166667,yes,1
27,c,1,1,1909,25.12694444,yes,2
27,c,1,2,3102,25.15972222,yes,2
27,c,1,3,1704,25.19333333,yes,2
27,c,1,4,2151,25.22611111,yes,2
27,c,1,1,12214,44.94194444,yes,3
27,c,1,2,17171,44.99277778,yes,3
27,c,1,3,14081,45.03055556,yes,3
27,c,1,4,11207,45.06861111,yes,3
27,c,1,1,26203,53.14027778,yes,4
27,c,1,2,25566,53.17333333,yes,4
27,c,1,3,26171,53.21083333,yes,4
27,c,1,4,24307,53.23972222,yes,4
29,c,NA,NA,1304,0.005277778,yes,1
29,c,NA,NA,951,0.034166667,yes,1
29,c,NA,NA,743,0.066111111,yes,1
29,c,NA,NA,872,0.094166667,yes,1
29,c,NA,NA,1085,0.171388889,yes,1
29,c,NA,NA,1275,0.201666667,yes,1
29,c,NA,NA,1357,0.2475,yes,1
29,c,NA,NA,1454,0.284166667,yes,1
29,c,NA,NA,789,0.312222222,yes,1
29,c,NA,NA,745,0.341111111,yes,1
29,c,NA,NA,777,0.369166667,yes,1
29,c,NA,NA,740,0.415277778,yes,1
29,c,NA,NA,755,0.445555556,yes,1
29,c,NA,NA,623,0.473888889,yes,1
29,c,NA,NA,865,0.510277778,yes,1
29,c,NA,NA,1085,0.538611111,yes,1
29,c,NA,NA,1526,0.566666667,yes,1
29,c,NA,NA,856,0.5975,yes,1
29,c,NA,NA,688,0.638611111,yes,1
29,c,NA,NA,931,0.666388889,yes,1
29,c,NA,NA,883,0.705,yes,1
29,c,NA,NA,1271,23.28944444,yes,2
29,c,NA,NA,1443,23.31861111,yes,2
29,c,NA,NA,1445,23.34694444,yes,2
29,c,NA,NA,364,23.37388889,yes,2
29,c,NA,NA,4512,31.50444444,yes,3
29,c,NA,NA,2343,31.53416667,yes,3
29,c,NA,NA,3716,31.56638889,yes,3
29,c,NA,NA,1045,31.59611111,yes,3
29,c,NA,NA,10608,47.38416667,yes,4
29,c,NA,NA,8842,47.41416667,yes,4
29,c,NA,NA,6694,47.44333333,yes,4
29,c,NA,NA,13045,47.47222222,yes,4
29,c,NA,NA,7651,50.02777778,yes,5
29,c,NA,NA,5291,50.05666667,yes,5
29,c,NA,NA,7926,50.08472222,yes,5
29,c,NA,NA,7884,50.11333333,yes,5
29,c,NA,NA,13574,54.59055556,yes,6
29,c,NA,NA,8617,54.61916667,yes,6
29,c,NA,NA,10005,54.64833333,yes,6
29,c,NA,NA,11206,54.67666667,yes,6
32,c,1,1,613,0.281388889,yes,1
32,c,1,2,1180,0.298055556,yes,1
32,c,1,3,1017,0.314722222,yes,1
32,c,1,4,703,0.348055556,yes,1
32,c,1,5,704,0.381388889,yes,1
32,c,2,1,806,0.398055556,yes,1
32,c,2,2,647,0.431388889,yes,1
32,c,2,3,562,0.448055556,yes,1
32,c,2,4,970,0.481388889,yes,1
32,c,2,5,276,0.498055556,yes,1
32,c,3,1,1201,0.514722222,yes,1
32,c,3,2,1041,0.548055556,yes,1
32,c,3,3,692,0.564722222,yes,1
32,c,3,4,949,0.598055556,yes,1
32,c,3,5,1128,0.614722222,yes,1
32,c,4,1,478,0.648055556,yes,1
32,c,4,2,529,0.664722222,yes,1
32,c,4,3,839,0.698055556,yes,1
32,c,4,4,562,0.714722222,yes,1
32,c,4,5,683,0.748055556,yes,1
32,c,1,1,970,24.59805556,yes,2
32,c,2,1,994,24.61472222,yes,2
32,c,3,1,1310,24.64805556,yes,2
32,c,4,1,199,24.68138889,yes,2
32,c,2,1,763,67.38138889,yes,3
32,c,2,2,420,67.41472222,yes,3
32,c,2,3,1078,67.43138889,yes,3
32,c,1,3,563,122.2313889,yes,4
32,c,2,3,551,122.2980556,yes,4
32,c,3,3,434,122.3313889,yes,4
32,c,4,3,394,122.3647222,yes,4
