curve code,isolate code,study notes,year of publication,growth metric,light metric,light level original units,light level microeinsteins,daylight hours,salinity,pH
94,316,Foy & Gibson (1993),1993,k,microeinsteins/m2/s,155,155,3,NA,NA
95,315,Foy & Gibson (1993),1993,k,microeinsteins/m2/s,155,155,3,NA,NA
96,312,Foy & Gibson (1993),1993,k,microeinsteins/m2/s,155,155,3,NA,NA
97,357,Rapala & Sivonen (1998),1998,mu,microeinsteins/m2/s,42,42,NA,NA,NA
98,356,Rapala & Sivonen (1998),1998,mu,microeinsteins/m2/s,42,42,NA,NA,NA
99,355,Rapala & Sivonen (1998),1998,mu,microeinsteins/m2/s,42,42,NA,NA,NA
100,354,Rapala & Sivonen (1998),1998,mu,microeinsteins/m2/s,42,42,NA,NA,NA
101,401,Miyamoto et al. (1979),1979,mu per hour,ergs/cm2/s,1.5 x 10^4 ,68.85,NA,NA,NA
102,135,Yamamoto & Nakahara (2005),2005,mu,microeinsteins/m2/s,90,90,14,NA,NA
105,137,Yamamoto & Nakahara (2005),2005,mu,microeinsteins/m2/s,90,90,14,NA,NA
108,136,Yamamoto & Nakahara (2005),2005,mu,microeinsteins/m2/s,90,90,14,NA,NA
111,49,Hulburt & Guillard (1968),1968,k,foot-candles,1000,146,NA,NA,NA
112,50,Hulburt & Guillard (1968),1968,k,foot-candles,500,73,NA,NA,NA
113,265,Cloern (1977),1977,mu,NA,optimal at each temp,NA,15,NA,NA
114,384,Fan et al. (1994),1994,mu per hour,microeinsteins/m2/s,130,130,NA,NA,NA
115,418,Sosik & Mitchell (1994),1994,mu,microeinsteins/m2/s,165,165,NA,NA,NA
117,280,Qin & Li (2006),2006,mu,W/m2,30,137.7,12,NA,NA
118,190,Senft et al. (1981),1981,k,microeinsteins/m2/s,512,512,14,NA,NA
119,208,Senft et al. (1981),1981,k,microeinsteins/m2/s,512,512,14,NA,NA
120,241,Morgan & Kalff (1979),1979,k,NA,optimal at each temp,NA,NA,NA,NA
121,212,Tomas (1978),1978,k,Langleys/min,0.038,121.623066,12,5,NA
122,212,Tomas (1978),1978,k,Langleys/min,0.038,121.623066,12,10,NA
123,212,Tomas (1978),1978,k,Langleys/min,0.038,121.623066,12,15,NA
124,212,Tomas (1978),1978,k,Langleys/min,0.038,121.623066,12,20,NA
125,212,Tomas (1978),1978,k,Langleys/min,0.038,121.623066,12,25,NA
126,212,Tomas (1978),1978,k,Langleys/min,0.038,121.623066,12,30,NA
127,212,Tomas (1978),1978,k,Langleys/min,0.038,121.623066,12,35,NA
128,212,Tomas (1978),1978,k,Langleys/min,0.038,121.623066,12,40,NA
129,212,Tomas (1978),1978,k,Langleys/min,0.038,121.623066,12,45,NA
130,212,Tomas (1978),1978,k,Langleys/min,0.038,121.623066,12,50,NA
131,104,Bouterfas et al. (2002),2002,mu,NA,optimal at each temp,NA,NA,NA,NA
