"Lat","Lon","Biome","Hemisphere","Mean","SD"
-59.5,-27.5,"marine","Southern",-0.494633,1.01495
-59.5,-26.5,"marine","Southern",-0.418238,1.02669
-59.5,-25.5,"marine","Southern",-0.315693,1.02293
-59.5,-24.5,"marine","Southern",-0.246765,1.01657
-59.5,-23.5,"marine","Southern",-0.211456,1.00464
-59.5,-22.5,"marine","Southern",-0.213631,0.994448
-59.5,-21.5,"marine","Southern",-0.25329,0.985585
-59.5,-20.5,"marine","Southern",-0.29734,0.973851
-59.5,-19.5,"marine","Southern",-0.345781,0.959237
-59.5,-18.5,"marine","Southern",-0.390563,0.947131
-59.5,-17.5,"marine","Southern",-0.431684,0.937531
-59.5,-16.5,"marine","Southern",-0.470103,0.92939
-59.5,-15.5,"marine","Southern",-0.50582,0.922563
-59.5,-14.5,"marine","Southern",-0.542012,0.916515
-59.5,-13.5,"marine","Southern",-0.578679,0.911381
-59.5,-12.5,"marine","Southern",-0.612891,0.908389
-59.5,-11.5,"marine","Southern",-0.644649,0.907425
-59.5,-10.5,"marine","Southern",-0.670691,0.905973
-59.5,-9.5,"marine","Southern",-0.691016,0.904007
-59.5,-8.5,"marine","Southern",-0.707838,0.901873
-59.5,-7.5,"marine","Southern",-0.721158,0.899577
-59.5,-6.5,"marine","Southern",-0.731331,0.8972
-59.5,-5.5,"marine","Southern",-0.738357,0.89472
-59.5,-4.5,"marine","Southern",-0.741347,0.894415
-59.5,-3.5,"marine","Southern",-0.740302,0.896162
-59.5,-2.5,"marine","Southern",-0.739781,0.897103
-59.5,-1.5,"marine","Southern",-0.738888,0.906097
-59.5,-0.5,"marine","Southern",-0.739148,0.909988
-59.5,0.5,"marine","Southern",-0.739666,0.917998
-59.5,1.5,"marine","Southern",-0.7404,0.925921
-59.5,2.5,"marine","Southern",-0.741348,0.933824
-59.5,3.5,"marine","Southern",-0.740365,0.940991
-59.5,4.5,"marine","Southern",-0.73745,0.947309
-59.5,5.5,"marine","Southern",-0.732155,0.952729
-59.5,6.5,"marine","Southern",-0.72448,0.957436
-59.5,7.5,"marine","Southern",-0.716962,0.960658
-59.5,8.5,"marine","Southern",-0.7096,0.962343
-59.5,9.5,"marine","Southern",-0.699903,0.964991
-59.5,10.5,"marine","Southern",-0.68787,0.968581
-59.5,11.5,"marine","Southern",-0.673204,0.972675
-59.5,12.5,"marine","Southern",-0.655904,0.977412
-59.5,13.5,"marine","Southern",-0.638168,0.982697
-59.5,14.5,"marine","Southern",-0.619996,0.988388
-59.5,15.5,"marine","Southern",-0.598739,0.995347
-59.5,16.5,"marine","Southern",-0.574399,1.00387
-59.5,17.5,"marine","Southern",-0.540783,1.01194
-59.5,18.5,"marine","Southern",-0.497892,1.01975
-59.5,19.5,"marine","Southern",-0.449656,1.02424
-59.5,20.5,"marine","Southern",-0.396077,1.0256
-59.5,21.5,"marine","Southern",-0.334266,1.01908
-59.5,22.5,"marine","Southern",-0.264224,1.00455
-59.5,23.5,"marine","Southern",-0.189184,0.989219
-59.5,24.5,"marine","Southern",-0.109146,0.972963
-59.5,25.5,"marine","Southern",-0.0471235,0.961101
-59.5,26.5,"marine","Southern",-0.0031167,0.953453
-59.5,27.5,"marine","Southern",0.02188,0.949839
-59.5,28.5,"marine","Southern",0.0278666,0.950111
-59.5,29.5,"marine","Southern",0.0329933,0.950903
-59.5,30.5,"marine","Southern",0.0372603,0.952297
-59.5,31.5,"marine","Southern",0.0497315,0.951528
-59.5,32.5,"marine","Southern",0.070407,0.948366
-59.5,33.5,"marine","Southern",0.0906998,0.944451
-59.5,34.5,"marine","Southern",0.11061,0.939745
-59.5,35.5,"marine","Southern",0.120542,0.937332
-59.5,36.5,"marine","Southern",0.120497,0.93735
-59.5,37.5,"marine","Southern",0.11081,0.939601
-59.5,38.5,"marine","Southern",0.0914792,0.944041
-59.5,39.5,"marine","Southern",0.0703412,0.949413
