file_name,temp,variability,sample_day,replicate,cell_density,start_time,cell_volume
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-3-1_summary,10,v,3,1,967,2017-06-07  17:56:57,916.52
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-3-2_summary,10,v,3,2,861,2017-06-07  17:58:03,758.50
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-3-3_summary,10,v,3,3,711,2017-06-07  18:19:16,863.87
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-3-4-r2_summary,10,v,3,4,847,2017-06-07  18:55:32,620.08
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-4-1_summary,10,v,4,1,729,2017-06-07  18:42:44,850.55
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-4-2_summary,10,v,4,2,916,2017-06-07  18:39:16,823.19
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-4-3_summary,10,v,4,3,1539,2017-06-07  18:41:04,863.65
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-4-4_summary,10,v,4,4,1751,2017-06-07  18:45:53,764.60
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-5-1_summary,10,v,5,1,626,2017-06-07  18:47:18,777.99
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-5-2_summary,10,v,5,2,1018,2017-06-07  18:51:35,793.66
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-5-3_summary,10,v,5,3,535,2017-06-07  18:52:55,739.74
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-5-4_summary,10,v,5,4,729,2017-06-07  18:54:16,804.82
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-1-1_summary,16,c,1,1,268,2017-06-07  15:03:17,364.27
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-1-2_summary,16,c,1,2,108,2017-06-07  15:04:43,116.70
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-1-3_summary,16,c,1,3,377,2017-06-07  15:06:09,526.14
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-1-4_summary,16,c,1,4,471,2017-06-07  15:08:21,945.37
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-2-1_summary,16,c,2,1,430,2017-06-07  15:10:05,839.73
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-2-2_summary,16,c,2,2,376,2017-06-07  15:11:42,845.13
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-2-4_summary,16,c,2,4,323,2017-06-07  15:18:45,923.27
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-3-1_summary,16,c,3,1,538,2017-06-07  15:20:09,921.65
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-3-2_summary,16,c,3,2,698,2017-06-07  15:21:28,787.18
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-3-3_summary,16,c,3,3,604,2017-06-07  14:46:11,1097.73
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-3-4_summary,16,c,3,4,407,2017-06-07  14:49:24,1082.74
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-4-1_summary,16,c,4,1,785,2017-06-07  14:51:06,688.95
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-4-2_summary,16,c,4,2,897,2017-06-07  14:52:29,740.43
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-4-3_summary,16,c,4,3,377,2017-06-07  14:53:56,661.66
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-4-4_summary,16,c,4,4,109,2017-06-07  14:55:53,555.61
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-5-1_summary,16,c,5,1,538,2017-06-07  14:57:09,4908.71
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-5-2_summary,16,c,5,2,269,2017-06-07  14:58:26,1191.50
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-5-3_summary,16,c,5,3,161,2017-06-07  14:59:44,182.86
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-5-4_summary,16,c,5,4,377,2017-06-07  15:01:03,765.31
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-1-1_summary,20,c,1,1,323,2017-06-07  15:57:41,986.14
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-1-2_summary,20,c,1,2,377,2017-06-07  15:58:56,1102.13
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-1-3_summary,20,c,1,3,1170,2017-06-07  16:00:37,1003.89
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-1-4_summary,20,c,1,4,916,2017-06-07  16:02:43,1081.29
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-2-1_summary,20,c,2,1,592,2017-06-07  16:04:17,797.75
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-2-2_summary,20,c,2,2,592,2017-06-07  16:05:47,766.50
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-2-3_summary,20,c,2,3,645,2017-06-07  16:07:05,1169.15
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-2-4_summary,20,c,2,4,1332,2017-06-07  16:08:24,985.65
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-3-1_summary,20,c,3,1,717,2017-06-07  16:10:55,375.55
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-3-2_summary,20,c,3,2,958,2017-06-07  16:13:11,784.73
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-3-4_summary,20,c,3,4,430,2017-06-07  15:41:35,817.21
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-4-1_summary,20,c,4,1,410,2017-06-07  15:43:34,852.47
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-4-2_summary,20,c,4,2,289,2017-06-07  15:47:10,1403.29
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-4-3_summary,20,c,4,3,644,2017-06-07  15:48:08,822.74
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-4-4_summary,20,c,4,4,861,2017-06-07  15:49:54,915.39
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-5-1_summary,20,c,5,1,1721,2017-06-07  15:51:12,1136.09
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-5-2_summary,20,c,5,2,592,2017-06-07  15:53:04,1334.88
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-5-3_summary,20,c,5,3,592,2017-06-07  15:54:34,868.14
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-5-4_summary,20,c,5,4,1291,2017-06-07  15:55:56,866.94
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-1-1_summary,20,v,1,1,820,2017-06-07  20:51:46,724.82
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-1-2_summary,20,v,1,2,404,2017-06-07  20:53:36,683.68
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-1-3_summary,20,v,1,3,308,2017-06-07  20:55:09,567.70
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-2-1_summary,20,v,2,1,707,2017-06-07  20:58:42,706.93
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-2-2_summary,20,v,2,2,980,2017-06-07  21:00:20,789.92
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-2-3_summary,20,v,2,3,104,2017-06-07  21:01:58,479.53
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-2-4_summary,20,v,2,4,195,2017-06-07  21:03:31,588.87
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-3-1_summary,20,v,3,1,299,2017-06-07  21:05:06,471.70
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-3-2_summary,20,v,3,2,606,2017-06-07  21:06:44,843.33
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-3-3_summary,20,v,3,3,292,2017-06-07  20:01:40,536.36
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-3-4_summary,20,v,3,4,588,2017-06-07  20:03:20,738.86
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-4-1_summary,20,v,4,1,588,2017-06-07  20:04:57,527.16
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-4-2_summary,20,v,4,2,801,2017-06-07  20:06:34,588.09
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-4-3_summary,20,v,4,3,389,2017-06-07  20:08:07,742.71
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-4-4_summary,20,v,4,4,501,2017-06-07  20:09:54,543.08
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-5-1_summary,20,v,5,1,681,2017-06-07  20:11:30,771.67
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-5-2_summary,20,v,5,2,596,2017-06-07  20:13:08,587.62
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-5-3_summary,20,v,5,3,482,2017-06-07  20:14:45,728.24
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-5-4_summary,20,v,5,4,568,2017-06-07  20:16:27,673.15
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-1-1_summary,24,c,1,1,1013,2017-06-07  17:28:07,1381.09
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-1-2_summary,24,c,1,2,1076,2017-06-07  17:29:23,1035.97
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-1-3_summary,24,c,1,3,698,2017-06-07  17:32:00,1150.26
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-1-4_summary,24,c,1,4,914,2017-06-07  17:33:22,1089.32
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-2-1_summary,24,c,2,1,746,2017-06-07  17:34:40,802.35
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-2-2_summary,24,c,2,2,713,2017-06-07  17:36:38,1342.94
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-2-3_summary,24,c,2,3,861,2017-06-07  17:37:56,1051.89
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-2-4_summary,24,c,2,4,698,2017-06-07  17:39:20,1000.16
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-3-1_summary,24,c,3,1,968,2017-06-07  17:41:04,1029.55
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-3-3_summary,24,c,3,3,575,2017-06-07  18:57:53,748.48
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-3-4_summary,24,c,3,4,879,2017-06-07  18:59:23,662.03
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-4-1_summary,24,c,4,1,451,2017-06-07  19:01:04,793.66
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-4-2_summary,24,c,4,2,469,2017-06-07  19:02:54,932.46
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-4-3_summary,24,c,4,3,350,2017-06-07  19:04:41,772.73
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-5-1_summary,24,c,5,1,937,2017-06-07  19:08:41,728.05
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-5-2_summary,24,c,5,2,343,2017-06-07  19:10:30,756.56
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-5-3_summary,24,c,5,3,616,2017-06-07  19:12:15,1020.97
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-5-4_summary,24,c,5,4,971,2017-06-07  19:13:54,738.30
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-1-1_summary,27,c,1,1,400,2017-06-07  18:00:01,1162.82
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-1-2_summary,27,c,1,2,991,2017-06-07  18:01:54,965.92
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-1-3_summary,27,c,1,3,323,2017-06-07  18:03:07,912.26
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-1-4_summary,27,c,1,4,550,2017-06-07  18:06:44,854.57
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-2-2_summary,27,c,2,2,269,2017-06-07  18:09:58,669.17
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-2-3_summary,27,c,2,3,377,2017-06-07  18:11:13,812.57
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-2-4_summary,27,c,2,4,907,2017-06-07  18:12:55,999.13
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-3-1_summary,27,c,3,1,430,2017-06-07  18:16:20,994.98
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-3-2_summary,27,c,3,2,807,2017-06-07  18:17:38,962.99
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-3-3_summary,27,c,3,3,592,2017-06-07  15:22:48,804.08
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-3-4_summary,27,c,3,4,592,2017-06-07  15:24:21,769.90
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-4-1_summary,27,c,4,1,592,2017-06-07  15:25:49,806.83
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-4-2_summary,27,c,4,2,699,2017-06-07  15:27:30,1018.53
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-4-3_summary,27,c,4,3,645,2017-06-07  15:29:03,673.95
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-4-4_summary,27,c,4,4,1667,2017-06-07  15:30:53,1008.06
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-5-1_summary,27,c,5,1,7853,2017-06-07  15:32:42,1643.11
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-5-2_summary,27,c,5,2,914,2017-06-07  15:35:10,864.07
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-5-3_summary,27,c,5,3,1076,2017-06-07  15:36:28,974.83
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-5-4_summary,27,c,5,4,699,2017-06-07  15:37:48,761.56
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27v-1-2_summary,27,v,1,2,807,2017-06-07  16:49:39,878.63
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27v-1-3_summary,27,v,1,3,485,2017-06-07  16:51:19,864.71
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27v-2-1_summary,27,v,2,1,1455,2017-06-07  16:57:47,1198.87
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27v-2-2_summary,27,v,2,2,861,2017-06-07  16:59:44,1132.70
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27v-2-3_summary,27,v,2,3,913,2017-06-07  17:02:02,1296.38
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27v-2-4_summary,27,v,2,4,698,2017-06-07  17:03:40,964.86
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27v-3-3_summary,27,v,3,3,523,2017-06-07  20:18:04,662.10
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27v-3-4_summary,27,v,3,4,814,2017-06-07  20:19:51,783.80
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27v-4-1_summary,27,v,4,1,353,2017-06-07  20:21:27,845.53
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27v-4-2_summary,27,v,4,2,575,2017-06-07  20:23:02,777.17
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27v-4-3_summary,27,v,4,3,505,2017-06-07  20:24:49,735.30
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27v-4-4_summary,27,v,4,4,480,2017-06-07  20:26:25,822.40
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27v-5-1_summary,27,v,5,1,1232,2017-06-07  20:28:17,745.16
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27v-5-2_summary,27,v,5,2,600,2017-06-07  20:30:34,740.43
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27v-5-3_summary,27,v,5,3,294,2017-06-07  20:32:13,554.59
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27v-5-4_summary,27,v,5,4,50,2017-06-07  20:33:50,654.10
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-1-1_summary,5,c,1,1,569,2017-06-07  20:35:26,678.74
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-1-2_summary,5,c,1,2,136,2017-06-07  20:37:00,550.78
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-1-3_summary,5,c,1,3,778,2017-06-07  20:38:41,834.93
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-1-4_summary,5,c,1,4,568,2017-06-07  20:40:17,779.93
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-2-1_summary,5,c,2,1,247,2017-06-07  20:41:56,632.10
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-2-2_summary,5,c,2,2,448,2017-06-07  20:43:32,704.69
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-2-3_summary,5,c,2,3,348,2017-06-07  20:45:13,631.00
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-2-4_summary,5,c,2,4,852,2017-06-07  20:46:49,673.17
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-3-1_summary,5,c,3,1,289,2017-06-07  20:48:27,652.01
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-3-2_summary,5,c,3,2,584,2017-06-07  20:50:09,777.25
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-3-3_summary,5,c,3,3,1146,2017-06-07  19:15:32,618.54
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-3-4_summary,5,c,3,4,672,2017-06-07  19:16:53,828.41
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-4-1_summary,5,c,4,1,365,2017-06-07  19:18:10,738.50
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-4-2_summary,5,c,4,2,1108,2017-06-07  19:19:27,791.27
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-4-3_summary,5,c,4,3,952,2017-06-07  19:20:44,838.85
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-4-4_summary,5,c,4,4,924,2017-06-07  19:22:04,825.97
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-5-1_summary,5,c,5,1,596,2017-06-07  19:23:26,779.45
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-5-2_summary,5,c,5,2,729,2017-06-07  19:25:07,779.94
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-5-3_summary,5,c,5,3,781,2017-06-07  19:26:42,697.61
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5c-5-4_summary,5,c,5,4,1038,2017-06-07  19:28:23,656.91
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-1-1_summary,5,v,1,1,915,2017-06-07  19:45:47,742.96
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-1-2_summary,5,v,1,2,909,2017-06-07  19:47:24,612.18
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-1-3_summary,5,v,1,3,300,2017-06-07  19:49:05,828.53
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-1-4_summary,5,v,1,4,295,2017-06-07  19:50:43,684.23
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-2-1_summary,5,v,2,1,978,2017-06-07  19:52:22,671.24
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-2-2_summary,5,v,2,2,314,2017-06-07  19:53:46,513.80
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-2-3_summary,5,v,2,3,973,2017-06-07  19:55:13,613.91
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-2-4_summary,5,v,2,4,839,2017-06-07  19:56:52,661.51
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-3-1_summary,5,v,3,1,717,2017-06-07  19:58:28,736.86
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-3-2_summary,5,v,3,2,411,2017-06-07  20:00:03,828.37
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-3-3_summary,5,v,3,3,966,2017-06-07  17:09:44,993.66
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-4-1_summary,5,v,4,1,1288,2017-06-07  17:13:15,1213.62
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-4-2_summary,5,v,4,2,698,2017-06-07  17:14:52,726.93
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-4-3_summary,5,v,4,3,1667,2017-06-07  17:16:32,957.33
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-4-4_summary,5,v,4,4,322,2017-06-07  17:18:10,939.06
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-5-1_summary,5,v,5,1,699,2017-06-07  17:21:02,931.76
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-5-2_summary,5,v,5,2,861,2017-06-07  17:22:27,827.96
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-5-3_summary,5,v,5,3,592,2017-06-07  17:23:45,805.58
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/5v-5-4_summary,5,v,5,4,972,2017-06-07  17:25:10,934.44
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/summary_export_10c-4-1_copy,10,c,4,1,377,2017-06-07  16:25:54,1066.01
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/summary_export_10c-5-2_copy,10,c,5,2,699,2017-06-07  16:37:09,1097.54
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/summary_export_10c-5-4_copy,10,c,5,4,913,2017-06-07  16:41:00,1388.77
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/summary_export_10v-2-3_copy,10,v,2,3,676,2017-06-07  17:52:52,784.03
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/summary_export_16c-2-3_copy,16,c,2,3,428,2017-06-07  15:16:28,887.88
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/summary_export_20c-3-3_copy,20,c,3,3,1291,2017-06-07  15:39:44,898.57
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/summary_export_20v-1-4_copy,20,v,1,4,148,2017-06-07  20:56:46,628.59
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/summary_export_24c-3-2_copy,24,c,3,2,388,2017-06-07  17:42:59,973.18
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/summary_export_24c-4-4_copy,24,c,4,4,353,2017-06-07  19:06:29,581.07
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/summary_export_27c-2-1_copy,27,c,2,1,659,2017-06-07  18:08:02,1184.42
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/summary_export_27v-1-1_copy,27,v,1,1,465,2017-06-07  16:43:51,1380.80
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/summary_export_27v-1-4_copy,27,v,1,4,541,2017-06-07  16:55:21,1253.14
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/summary_export_27v-3-1_copy,27,v,3,1,1288,2017-06-07  17:05:33,1416.79
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/summary_export_27v-3-2_copy,27,v,3,2,753,2017-06-07  17:07:29,1532.98
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/summary_export_5v-3-4_copy,5,v,3,4,753,2017-06-07  17:11:19,1154.42
Tetraselmis_experiment/data-raw/flowcam-summaries-jun08/10c-1-1_summary,10,c,1,1,656,2017-06-08  17:10:01,1193.78
Tetraselmis_experiment/data-raw/flowcam-summaries-jun08/16c-1-1_summary,16,c,1,1,680,2017-06-08  16:57:33,1206.93
Tetraselmis_experiment/data-raw/flowcam-summaries-jun08/16c-1-2_summary,16,c,1,2,444,2017-06-08  16:59:11,1166.25
Tetraselmis_experiment/data-raw/flowcam-summaries-jun08/20c-1-1_summary,20,c,1,1,1294,2017-06-08  16:46:36,1184.20
Tetraselmis_experiment/data-raw/flowcam-summaries-jun08/20c-1-4_summary,20,c,1,4,1294,2017-06-08  16:52:26,1073.70
