isolate.code,SD,Mean,topt,w,a,b,z,source,latitude,longitude,habitat,name,speciesname,former.name.1,former.name.2,strain,clone,species,genus,family,order,class,phylum,kingdom,domain,comment,group,mu.rsqrlist,mu.slist,mu.c.opt.val.list,mu.g.opt.val.list,mu.n,emp.max.growth,tmin,tmax,minqual,maxqual,curvequal,abs.curveskew,rel.curveskew,used.for.optimum.analysis,used.for.tmax.analysis,used.for.tmin.analysis,used.for.niche.width.analysis,used.for.max.growth.rate.analysis,temperature,predicted_growth_variable,predicted_growth_constant,der
13,0.8847895,0.8729975000000001,4.514879836,54.91333473,0.763904447,0.263032761,-19.40192814,"Southern Ocean, Indian sector",-58,62,marine,Synedra sp.,Synedra,NA,NA,NA,NA,NA,Synedra,Fragilariaceae,Fragilariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,"Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.",diatoms,0.952431168,0.046716514,0.00464179,0.604254194,8,0.561,-46.85859551,8.054739224,bad,good,bad,-29.36712702,-0.030684995,1,1,0,0,1,0.8729975000000001,0.4372153708995416,0.4370235285986991,4.90111e-4
14,1.39999,10.8618,22.66390315,19.98928113,0.309317557,0.057277263,20.00589356,"Big Glory Bay, New Zealand",-46.98,168.12,marine,Emiliania huxleyi,Emiliania huxleyi,Coccolithus huxleyi,NA,NA,NA,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.999974775,0.002154722,0.97287079,1.052731206,5,0.97595123,10.01125299,30.00053413,good,good,good,-111.0683409,-0.013905889,1,1,1,1,1,10.8618,0.09474007792401523,0.09390120794800043,8.56002e-4
15,1.8672,14.9026,21.11438303,28.3163893,0.117011206,0.14093529,12.37260556,West New Zealand,-42.18,169.5,marine,Emiliania huxleyi R strain TQ26,Emiliania huxleyi,Coccolithus huxleyi,NA,R strain TQ26,NA,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.953963831,0.083432957,0.6691488,1.419435423,6,1.377,-1.785589088,26.53080021,bad,good,bad,-484.9523662,-0.021359223,1,1,0,0,1,14.9026,0.9288598152720324,0.9253011230492484,0.00204145
18,2.00006,15.7015,22.65169693,29.08491845,0.18610118,0.022667765,20.31471156,"Wellington Harbour, New Zealand",-41.27,174.85,marine,Fibrocapsa japonica strain CAWR-19,Fibrocapsa japonica,NA,NA,CAWR-19,NA,japonica,Fibrocapsa,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista,Eukaryota,NA,raphidophytes,0.975779107,0.016956757,0.294942259,0.302956663,10,0.305,5.772252331,34.85717079,good,good,good,-210.4789332,-0.008554706,1,1,1,1,1,15.7015,0.23519580981943494,0.23892429351839037,-0.00186413
24,2.04637,18.4897,22.29491187,24.90111734,0.26227299,0.068890873,17.68669798,SW Pacific Ocean,-36.3,174.81,marine,"Gephyrocapsa oceanica strain AB1, CAWPOT",Gephyrocapsa oceanica,NA,NA,"AB1, CAWPOT",NA,oceanica,Gephyrocapsa,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.81239903,0.166936711,0.886993776,1.051500332,14,1.178350207,5.236139316,30.13725665,good,good,good,-286.9373587,-0.018583632,1,1,1,1,1,18.4897,0.9146955561794349,0.9335450008843007,-0.00900244
25,1.49706,16.4325,20.67170892,59.91049198,2.772977743,-0.078437666,40.47773198,"Port River, Australia",-34.8,138.51,estuarine,Alexandrium minutum,Alexandrium minutum,NA,NA,NA,NA,minutum,Alexandrium,Gonyaulacaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.997451269,0.004059548,0.115896574,0.308419717,4,0.301519024,10.52248599,70.43297797,good,bad,bad,4185.493847,0.019464267,1,0,1,0,1,16.4325,0.2645429780503894,0.2717770979601447,-0.00645561
26,1.64962,18.0842,15.46532963,18.39921116,0.449398741,-0.00630656,15.73266197,"South Atlantic, off South Africa",-34.28,17.18,marine,Calcidiscus leptoporus strain NS10-2,Calcidiscus leptoporus,NA,NA,NS10-2,NA,leptoporus,Calcidiscus,Calcidiscaceae,Coccolithales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.662141489,0.124556842,0.406950508,0.407292963,6,0.569,6.533056387,24.93226755,good,good,good,9.704694034,0.00155806,1,1,1,1,1,18.0842,0.36227237740956897,0.37476201280736804,-0.00917935
30,1.73138,23.8129,23.58273862,22.78359671,0.221862391,0.062049227,19.963397960000002,"Indian Ocean, off S. Africa",-29.82,31.02,marine,Emiliania huxleyi strain S. Africa,Emiliania huxleyi,Coccolithus huxleyi,NA,S. Africa,NA,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.944552532,0.067578574,0.765684912,0.861727998,8,0.879603772,8.571599607,31.35519631,good,good,good,-193.325183,-0.016346379,1,1,1,1,1,23.8129,0.8330259169252787,0.8612437971629721,-0.0188265
32,1.59532,17.260125000000002,16.44662243,24.35257567,0.306056363,0.015830109,15.28252393,"South Atlantic, off Namibia",-25,12,marine,Coccolithus pelagicus ssp. braarudii,Coccolithus pelagicus,Coccolithus braarudii,NA,N476-2,NA,pelagicus,Coccolithus,Coccolithaceae,Coccolithales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.999998604,9.98084e-4,0.389823197,0.393444101,4,0.388,3.106236092,27.45881176,good,bad,bad,-73.84722921,-0.005113279,1,0,1,0,1,17.260125000000002,0.38439812677649604,0.3916099978996679,-0.00566738
33,1.56108,16.557499999999997,18.50424672,18.20218315,0.142703247,0.06891395,15.88693606,"South Atlantic, off Namibia",-23,14,marine,Calcidiscus leptoporus strain N482-1,Calcidiscus leptoporus,NA,NA,N482-1,NA,leptoporus,Calcidiscus,Calcidiscaceae,Coccolithales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.924121581,0.053828979,0.426494213,0.468550345,6,0.442,6.785844489,24.98802763,good,good,good,-90.14065475,-0.01494687,1,1,1,1,1,16.557499999999997,0.4324552354312111,0.4442407063091596,-0.00967223
34,1.612595,27.99375,22.29850642,28.62374145,0.54087277,-0.006470705,22.95764184,"Port Smith, near Broome, Western Australia",-18.51,121.8,marine,Isochrysis sp. strain PS11,Isochrysis,NA,NA,PS11,NA,NA,Isochrysis,Isochrysidaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,haptophytes,0.880323246,0.052812338,0.466208027,0.467207593,6,0.55,8.645771111,37.26951256,good,good,good,57.75840218,0.002462839,1,1,1,1,1,27.99375,0.39005041688211045,0.3953845898555279,-0.00410248
35,1.58976,26.7287,29.41497705,31.46064235,4.071131955,-0.048601079,34.73956116,"Innisfail, Queensland, Australia",-17.52,146.03,estuarine,Chaetoceros sp. strain CS256,Chaetoceros,NA,NA,CS256,NA,NA,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.672788442,0.028326683,0.752421142,0.862976378,5,0.87,19.00923998,50.46988234,bad,bad,bad,537.7364727,0.017268982,1,0,0,0,1,26.7287,0.8048283107972544,0.8225489859080025,-0.0140232
36,1.54808,26.8655,26.80382512,14.73482266,0.100691398,0.046834835,25.56906882,"Fitzroy Island, Queensland, Australia",-16.93,145.99,marine,Cryptomonas sp. strain CRFI01,Cryptomonas,NA,NA,"CRFI01, CRF101",NA,NA,Cryptomonas,Cryptomonadaceae,Cryptomonadales,Cryptophyceae,Cryptophyta,Chromista,Eukaryota,NA,cryptophytes,0.996298677,0.008471552,0.333480203,0.343409052,4,0.33,18.20165749,32.93648015,bad,good,bad,-28.50504819,-0.008910192,0,0,0,0,0,26.8655,0.32674005840406856,0.3433832710730263,-0.0138893
37,1.54808,26.8655,28.55694943,19.06722437,0.04588242,0.076994098,25.4347362,Great Barrier Reef,-16.37,145.57,marine,Trichodesmium erythraeum strain GBRTRLI101,Trichodesmium erythraeum,NA,NA,GBRTRLI101,NA,erythraeum,Trichodesmium,Phormidiaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,NA,cyanobacteria,0.789375593,0.069394516,0.325189021,0.36920290099999997,40,0.594,15.90112402,34.96834839,good,good,good,-116.3245984,-0.016780664,1,1,1,1,1,26.8655,0.34572115154983335,0.3548824976124684,-0.00764544
38,0.705272,28.375,28.46129761,34.98123348,0.052474536,0.116670053,17.55473362,"Mataiva,Tahiti, Society Islands",-14.88,-148.67,marine,"Isochrysis galbana clone T-ISO, NEPCC 601",Isochrysis galbana,NA,NA,NA,"NEPCC 601, T-ISO",galbana,Isochrysis,Isochrysidaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,haptophytes,0.937981988,0.085044071,0.406848027,0.88759926200000006,11,0.97,0.064116879,35.04535036,bad,good,bad,-905.1684993,-0.021145798,1,1,0,0,1,28.375,0.8822839283795407,0.8875193776650896,-0.0210509
40,1.34634,28.8008,23.21859481,21.68905433,2.368726056,-0.068578155,26.80931509,"Darwin Harbour, Northern Territory, Australia",-12.48,130.8,estuarine,Cylindrotheca closterium strain NT-6,Cylindrotheca closterium,Nitzschia closterium,NA,NT-6,NA,closterium,Cylindrotheca,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.987616816,0.023385917,0.376747124,0.429103205,5,0.38,15.96478792,37.65384225,good,good,good,172.9007469,0.016946305,1,1,1,1,1,28.8008,0.315241117322525,0.31756946047648715,-0.00256902
41,1.34634,28.8008,20.31395823,27.8055505,0.16239799,0.048600913,16.05672962,"Darwin Harbour, Northern Territory, Australia",-12.48,130.8,estuarine,Nitzschia paleacea strain NT7,Nitzschia paleacea,Nitzschia frustulum,NA,NT7,NA,paleacea,Nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.941712656,0.034980059,0.354398424,0.394992951,5,0.38,2.153954372,29.95950487,bad,good,bad,-340.1698374,-0.015823455,1,1,0,0,1,28.8008,0.09157382106282466,0.10517145674005762,-0.0150032
43,1.34634,28.8008,28.95951119,28.27715898,0.027591414,0.119711379,20.89083442,"Darwin Harbour, Northern Territory, Australia",-12.48,130.8,estuarine,Unidentified prymnesiophyte strain NT19,NA,NA,NA,NT19,NA,NA,NA,NA,NA,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,haptophytes,0.97637747,0.032758583,0.336424991,0.595996574,5,0.56,6.75225493,35.02941391,bad,good,bad,-505.910321,-0.022375164,1,1,0,0,1,28.8008,0.580763503385315,0.5957816076557099,-0.0165705
45,0.81489,26.6685,23.83795659,21.02794976,0.148948719,0.033923198,22.01882333,NA,-11.54,-28.58,marine,Pernambugia tuberosa strain GeoB*74,Pernambugia tuberosa,NA,NA,GeoB*74,NA,tuberosa,Pernambugia,NA,Peridiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.780770424,0.032265305,0.314363823,0.324364692,9,0.361129681,11.50484845,32.53279821,good,good,good,-85.50314855,-0.009195838,1,1,1,1,1,26.6685,0.29329244786979625,0.2960878777837951,-0.00841939
47,1.9786300000000001,24.2782,25.46180958,26.94376086,0.362548407,0.027479866,23.04887996,"Gardiner Bay, Espanola (Hood) Island, Galapagos Islands",-1.38,-89.65,marine,Phaeocystis globosa strain CCMP 1528,Phaeocystis globosa,NA,NA,CCMP 1528,NA,globosa,Phaeocystis,Phaeocystaceae,Phaeocystales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,haptophytes,0.57399121,0.236287707,0.683029551,0.706440783,7,1.1,9.576999527,36.52076039,good,good,good,-186.033453,-0.009510786,1,1,1,1,1,24.2782,0.6853807375689597,0.7006147143889964,-0.00778241
49,0.6202206666666666,27.834866666666667,27.14348294,24.36362634,0.631231562,0.044536878,24.05133607,"Atlantic, off South America",5,-52,marine,Skeletonema tropicum clone S. trop.,Skeletonema tropicum,NA,NA,NA,S. trop.,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.921807465,0.207433115,1.84243655,1.978230702,10,2.079441542,11.8695229,36.23314924,good,good,good,-192.5415837,-0.013313699,1,1,1,1,1,27.834866666666667,1.9634332492101938,1.9702391074451922,-0.0353851
50,0.6202206666666666,27.834866666666667,29.57245325,28.5546871,0.01347544,0.181390506,19.78064676,"Atlantic, off South America",5,-52,marine,Skeletonema tropicum clone 21-L,Skeletonema tropicum,NA,NA,NA,21-L,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.766030034,0.284229114,0.487305057,1.52457721,7,1.663553233,5.50330321,34.05799031,bad,good,bad,-418.7620373,-0.017986021,1,1,0,0,1,27.834866666666667,1.4254411365136896,1.431924388170847,-0.0337078
51,0.7537265,27.872549999999997,27.99883986,43.88771289,0.147851831,0.105424426,13.57776663,Suriname,6,-54,marine,Asterionellopsis glacialis,Asterionellopsis glacialis,Asterionella japonica,NA,NA,NA,glacialis,Asterionellopsis,Fragilariaceae,Fragilariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.695898848,0.284151261,0.618711373,1.607666206,11,1.642758818,-8.366089814,35.52162308,bad,good,bad,-1484.610689,-0.028558212,1,1,0,0,1,27.872549999999997,1.599284399119132,1.607433703763151,-0.0286895
52,0.7537265,27.872549999999997,26.85191783,22.35542442,0.319581137,0.055409614,23.67111214,Suriname,6,-54,marine,Odontella mobiliensis,Odontella mobiliensis,Biddulphia mobiliensis,NA,NA,NA,mobiliensis,Odontella,Triceratiaceae,Triceratiales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.9553816,0.10573793,1.186328338,1.300390787,8,1.351637002,12.49339993,34.84882435,good,good,good,-165.4055948,-0.014804762,1,1,1,1,1,27.872549999999997,1.2768997016609331,1.285756465763862,-0.0311801
53,0.7537265,27.872549999999997,21.20477853,24.39965303,2.747470209,-0.027261212,23.17981661,Suriname,6,-54,marine,Chaetoceros didymus,Chaetoceros didymus,NA,NA,NA,NA,didymus,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.848328258,0.214747854,1.460488066,1.500884271,9,1.441746136,10.9799901,35.37964312,good,good,good,125.1103109,0.008612756,1,1,1,1,1,27.872549999999997,1.091542464538314,1.0949615110608628,-0.0120367
54,0.7537265,27.872549999999997,24.02837696,23.66952479,0.786983118,0.019609913,22.67329341,Suriname,6,-54,marine,Rhizosolenia setigera,Rhizosolenia setigera,NA,NA,NA,NA,setigera,Rhizosolenia,Rhizosoleniaceae,Rhizosoleniales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.957175396,0.096808007,1.22761447,1.244145426,9,1.351637002,10.83853101,34.5080558,good,good,good,-81.08274594,-0.006114484,1,1,1,1,1,27.872549999999997,1.090498853892598,1.0970171614005395,-0.0229476
55,0.7537265,27.872549999999997,25.75524262,25.99272668,0.806086448,0.030673174,23.26104114,Suriname,6,-54,marine,Skeletonema tropicum clone fall,Skeletonema tropicum,NA,NA,NA,fall,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.711595965,0.335961414,1.645304835,1.710702059,10,1.642758818,10.2646778,36.25740448,good,good,good,-178.6760705,-0.010174448000000001,1,1,1,1,1,27.872549999999997,1.6489341216107394,1.6566695059449843,-0.0272323
56,0.7537265,27.872549999999997,29.3942984,26.84506029,0.018255282,0.168999789,20.64278547,Suriname,6,-54,marine,Skeletonema tropicum clone spring,Skeletonema tropicum,NA,NA,NA,spring,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.775882025,0.279640443,0.597695159,1.507962437,7,1.642758818,7.220255323,34.06531562,bad,good,bad,-385.7369002,-0.019938755,1,1,0,0,1,27.872549999999997,1.4294406264013257,1.4397840893165843,-0.036414
57,0.7537265,27.872549999999997,27.01490387,25.95545146,0.182157166,0.088686439,21.09766745,Suriname,6,-54,marine,Thalassionema nitzschioides,Thalassionema nitzschioides,NA,NA,NA,NA,nitzschioides,Thalassionema,Thalassionemataceae,Thalassionematales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.697162388,0.345850347,1.18316326,1.583932901,8,1.76752531,8.119941723,34.07539318,good,good,good,-374.5235454,-0.021418713,1,1,1,1,1,27.872549999999997,1.557138195844843,1.5696554505159617,-0.0440668
58,0.825728,28.9232,29.28929381,22.36420613,0.04237006,0.065869549,25.62562958,"West coast of Sabah, Malaysia",6,116.08,marine,Pyrodinium bahamense var. compressum strain PbSA01,Pyrodinium bahamense,NA,NA,PbSA01,NA,bahamense,Pyrodinium,Goniodomataceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.916253581,0.009734351,0.229153171,0.260384334,13,0.266861665,14.44352652,36.80773265,bad,good,bad,-187.4296937,-0.016756293,1,1,0,0,1,28.9232,0.2581412533050684,0.259983920725053,-0.00540509
59,0.842078,27.6549,32.30954387,40.69632029,0.011403741,0.103536531,19.44344906,NA,7.03,-48.23,marine,Leonella granifera strain GeoB*38,Leonella granifera,NA,NA,GeoB*38,NA,granifera,Leonella,NA,NA,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.654569859,0.031411837,0.085374607,0.194156894,10,0.192001769,-0.904711083,39.79160921,bad,bad,bad,-1403.379355,-0.020821387,1,0,0,0,1,27.6549,0.16696028512227462,0.167248557558221,-8.13071e-4
61,0.830431,27.7949,26.55024552,17.53359294,0.033302389,0.099780687,23.25701575,NA,8.71,-52.5,marine,Leonella granifera strain GeoB*39,Leonella granifera,NA,NA,GeoB*39,NA,granifera,Leonella,NA,NA,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.932670289,0.029543083,0.339077993,0.404525503,10,0.396480187,14.49021928,32.02381222,good,good,good,-101.3410083,-0.018800633,1,1,1,1,1,27.7949,0.38261014790904685,0.39038801245054455,-0.0225571
62,0.803053,27.9081,31.95074386,60.06629918,0.303542777,0.103768022,10.04715689,West of Costa Rica,9.81,-89.24,marine,Chaetoceros sp.,Chaetoceros,NA,NA,NA,NA,NA,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.845149747,0.53115128,0.861001417,3.912446015,24,4.403564038,-19.9859927,40.08030648,bad,good,bad,-2328.119393,-0.031693901,1,1,0,0,1,27.9081,3.5450181346425813,3.551178260018667,-0.0191043
63,0.803053,27.9081,25.98823527,16.9637426,0.159365105,0.063421646,23.85117895,West of Costa Rica,9.81,-89.24,marine,Gymnodinium sp. isolate 581 (probably G. simplex),Gymnodinium,NA,NA,isolate 581,NA,NA,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.861427322,0.112520162,0.723339632,0.775748426,22,0.855343621,15.36930765,32.33305025,good,good,good,-64.54232253,-0.013221465,1,1,1,1,1,27.9081,0.709781844932341,0.7215484540817978,-0.0364916
