isolate_code,der_max,der_min,derivative_sign
346,7.80566e-4,-0.0189867,positive
347,1.4222e-4,-0.00421431,positive
348,0.00344902,-0.0899662,positive
35,0.00149191,-0.0330363,positive
350,0.00149541,-0.047493,positive
351,0.00182722,-0.0627667,positive
353,0.00308911,-0.117745,positive
358,0.00320366,-0.0835631,positive
36,-0.00269672,-0.029211,negative
361,-0.00264685,-0.0114881,negative
362,0.0037897,-0.143839,positive
363,-0.0132783,-0.0172709,negative
364,0.00539848,-0.131986,positive
365,0.00280942,-0.0584296,positive
366,0.00261227,-0.0984493,positive
367,0.00464943,-0.0976476,positive
368,0.00430598,-0.131324,positive
369,0.00533392,-0.182285,positive
37,0.00160756,-0.0363959,positive
370,0.00169155,-0.0622234,positive
372,9.6139e-4,-0.0275757,positive
38,0.0032272,-0.10225,positive
40,0.00146993,-0.0335265,positive
402,0.00161035,-0.0465098,positive
41,6.55602e-4,-0.0169371,positive
43,0.00268394,-0.0788417,positive
45,-0.00114132,-0.0138897,negative
450,0.00323574,-0.0680883,positive
451,0.00413851,-0.152154,positive
452,0.00252263,-0.0920242,positive
453,0.00277157,-0.101658,positive
454,0.00238491,-0.087225,positive
455,0.00276182,-0.104125,positive
456,0.00224867,-0.0818439,positive
457,0.002911,-0.11039,positive
458,0.00358232,-0.134577,positive
459,0.00393685,-0.149916,positive
460,0.00451094,-0.170224,positive
461,0.00365629,-0.138214,positive
462,-0.00429153,-0.0352284,negative
463,0.00254203,-0.066238,positive
464,0.00219089,-0.0766742,positive
465,0.00476048,-0.0993063,positive
466,0.00269934,-0.0816505,positive
467,-0.00394564,-0.0305262,negative
468,0.00399174,-0.102616,positive
469,0.00568111,-0.205742,positive
47,-0.00134934,-0.0189151,negative
470,-0.0143314,-0.0153976,negative
471,0.00618651,-0.182609,positive
472,0.00392055,-0.0880807,positive
473,0.00599995,-0.176309,positive
474,0.00583993,-0.182289,positive
475,0.00589413,-0.17484,positive
476,0.0056175,-0.209457,positive
477,0.00207159,-0.0779551,positive
49,0.00122799,-0.0885138,positive
5,-0.00988785,-0.0362172,negative
50,0.0113544,-0.386999,positive
51,0.00435069,-0.143801,positive
52,0.00244009,-0.0784535,positive
53,-0.0047889,-0.0455739,negative
538,0.0104271,-0.372043,positive
54,-0.00744766,-0.0322594,negative
542,0.00109959,-0.0269222,positive
543,0.00187901,-0.0418895,positive
544,3.05193e-5,-0.0247327,positive
545,0.00129328,-0.0281081,positive
546,0.00102018,-0.024279,positive
548,0.00425805,-0.15162,positive
549,0.00557263,-0.15317,positive
55,-0.00265097,-0.0518191,negative
550,0.00530947,-0.163847,positive
551,0.00508482,-0.191818,positive
552,0.00415577,-0.152183,positive
553,0.00342265,-0.0721474,positive
554,6.54583e-4,-0.0157858,positive
555,7.19767e-4,-0.0161563,positive
556,-0.00273563,-0.00850186,negative
557,7.3614e-4,-0.0161995,positive
558,0.00272785,-0.0782849,positive
559,-4.65393e-4,-0.0174542,negative
56,0.0106307,-0.350269,positive
560,-7.57649e-6,-0.0185688,negative
561,-0.00694779,-0.0316129,negative
562,-0.0237983,-0.0290262,negative
563,-0.020013800000000002,-0.0328037,negative
564,0.00196825,-0.0476341,positive
565,9.74885e-4,-0.024418,positive
57,0.00604232,-0.14525,positive
570,0.00382974,-0.0821344,positive
571,0.00339232,-0.0731853,positive
572,0.00388127,-0.0834456,positive
573,0.00176754,-0.048426,positive
58,8.30221e-4,-0.0187658,positive
59,5.42357e-4,-0.0173642,positive
603,0.00249466,-0.0778828,positive
606,0.00157861,-0.0449149,positive
61,0.00275754,-0.0577869,positive
62,0.00862118,-0.307975,positive
63,8.90861e-4,-0.0708445,positive
64,-3.19524e-4,-3.90378e-4,negative
65,0.0431285,-1.0424,positive
68,-0.0121818,-0.0499971,negative
69,0.00862466,-0.31202,positive
7,0.00365747,-0.137764,positive
74,0.00191206,-0.0696163,positive
77,0.00645831,-0.166342,positive
78,0.0175821,-0.71668,positive
79,0.00300627,-0.250142,positive
8,0.00302348,-0.111153,positive
81,0.00186253,-0.0433093,positive
82,0.00111134,-0.0341264,positive
83,0.0049282,-0.125545,positive
84,-0.015859,-0.0244727,negative
85,5.16409e-4,-0.011535,positive
86,-0.00374214,-0.0096755,negative
87,0.00130467,-0.0406455,positive
89,0.00218138,-0.0528638,positive
9,0.00333791,-0.124867,positive
90,0.00448708,-0.122797,positive
91,-0.00888081,-0.0272168,negative
93,0.00716224,-0.152214,positive
94,0.00548209,-0.116612,positive
95,-3.10147e-4,-0.00151334,negative
97,9.72246e-5,-0.0178361,positive
