curve.id.list,topt.list,maxgrowth.list,z.list,w.list,a.list,b.list,rsqr.list,n.list
513,24.308345091204863,1.6691840059184777,14.88028776506085,33.33443154349326,0.21682266641618705,0.09982738501215259,0.9962774647547764,8
514,41.960180555904,6.827365617975842e-8,23.998673418926327,29.004241084721123,-0.08094474721189135,-0.3183583822042063,-3.0334509514127035,8
515,24.368341209738404,1.6080284444314237,15.892733837826974,32.59058972883217,0.2612279350524481,0.08752378081221532,0.9981214003671717,8
516,24.374782390835854,1.6072077086430807,15.780348465711521,32.703934292369254,0.2547943004329471,0.08882538782157853,0.9979706593997802,9
517,24.424795101987996,1.6278451605304245,16.03474175178594,32.401291033857156,0.2632780125742185,0.08737248292741598,0.9988797835277694,8
519,42.02982115063623,9.064890499802724e-8,23.95288115441424,29.042136138339416,-0.08039009050561605,-0.3116134595094458,-3.0540211361776555,8
520,24.186828770568514,1.5300974517061752,15.813633419143244,33.258496246826795,0.28805445399877316,0.0811327184200928,0.9932677662558673,8
521,24.33209244089825,1.6520881612004588,15.520158626809401,32.370614045501334,0.2291957527630356,0.09562621200729826,0.9951929877467267,8
522,24.276573533363837,1.7046333374174303,14.883972756654636,33.25690221591175,0.2221707543213788,0.09976430904724456,0.9958429448543759,8
523,24.178748978601636,1.6478132238890613,15.288075921017649,32.51766368959995,0.2310573793185948,0.09594395286657671,0.9995134371189667,8
524,24.399122226735777,1.6271440874654537,15.491506175705252,32.844738962981005,0.2349856548010263,0.09358897687501269,0.999621440143614,8
525,24.47353677335923,1.7227467494044926,15.300162798571293,32.374218368718545,0.203267769165544,0.10315300597947193,0.99129900120692,8
526,24.309692335302444,1.7157321398547654,14.80499878158065,33.17640702992486,0.20963725532339963,0.1028465273033342,0.9991325939436253,8
527,24.617775265402095,1.5559341010591456,15.48059559799297,34.4586854668937,0.2629262296551433,0.08563708351193762,0.9990603107165108,8
528,24.43058123920744,1.6895318306134786,14.897228124187718,33.25389191812462,0.20445367920312207,0.10275971823189378,0.9975163233096159,8
