keep,file_name,unique,temp,variability,sample_day,replicate,cell_density,start_time,cell_volume,total_biovolume,start.time,time_since_innoc_days,time_since_innoc_hours,rows
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-4-4_summary,10-v-4-4,10,v,4,4,1751,2017-06-07T18:45:53Z,764.6,1338814.6,2017-06-07T14:46:11Z,0.16645833333333335,3.995,32
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-5-1_summary,10-v-1-5,10,v,5,1,626,2017-06-07T18:47:18Z,777.99,487021.74,2017-06-07T14:46:11Z,0.16744212962962962,4.018611111111111,33
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-5-2_summary,10-v-2-5,10,v,5,2,1018,2017-06-07T18:51:35Z,793.66,807945.88,2017-06-07T14:46:11Z,0.17041666666666666,4.09,34
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-5-3_summary,10-v-3-5,10,v,5,3,535,2017-06-07T18:52:55Z,739.74,395760.9,2017-06-07T14:46:11Z,0.1713425925925926,4.112222222222222,35
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-5-4_summary,10-v-4-5,10,v,5,4,729,2017-06-07T18:54:16Z,804.82,586713.78,2017-06-07T14:46:11Z,0.17228009259259258,4.134722222222222,36
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-1-1_summary,16-c-1-1,16,c,1,1,268,2017-06-07T15:03:17Z,364.27,97624.36,2017-06-07T14:46:11Z,0.011875,0.285,37
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-1-2_summary,16-c-2-1,16,c,1,2,108,2017-06-07T15:04:43Z,116.7,12603.6,2017-06-07T14:46:11Z,0.01287037037037037,0.3088888888888889,38
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-1-3_summary,16-c-3-1,16,c,1,3,377,2017-06-07T15:06:09Z,526.14,198354.78,2017-06-07T14:46:11Z,0.013865740740740741,0.3327777777777778,39
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-1-4_summary,16-c-4-1,16,c,1,4,471,2017-06-07T15:08:21Z,945.37,445269.27,2017-06-07T14:46:11Z,0.015393518518518518,0.36944444444444446,40
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-2-1_summary,16-c-1-2,16,c,2,1,430,2017-06-07T15:10:05Z,839.73,361083.9,2017-06-07T14:46:11Z,0.01659722222222222,0.3983333333333333,41
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-2-2_summary,16-c-2-2,16,c,2,2,376,2017-06-07T15:11:42Z,845.13,317768.88,2017-06-07T14:46:11Z,0.017719907407407406,0.42527777777777775,42
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-2-4_summary,16-c-4-2,16,c,2,4,323,2017-06-07T15:18:45Z,923.27,298216.21,2017-06-07T14:46:11Z,0.022615740740740742,0.5427777777777778,43
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-3-1_summary,16-c-1-3,16,c,3,1,538,2017-06-07T15:20:09Z,921.65,495847.7,2017-06-07T14:46:11Z,0.023587962962962963,0.5661111111111111,44
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-3-2_summary,16-c-2-3,16,c,3,2,698,2017-06-07T15:21:28Z,787.18,549451.64,2017-06-07T14:46:11Z,0.024502314814814814,0.5880555555555556,45
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-3-3_summary,16-c-3-3,16,c,3,3,604,2017-06-07T14:46:11Z,1097.73,663028.92,2017-06-07T14:46:11Z,0,0,46
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-3-4_summary,16-c-4-3,16,c,3,4,407,2017-06-07T14:49:24Z,1082.74,440675.18,2017-06-07T14:46:11Z,0.0022337962962962962,0.05361111111111111,47
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-4-1_summary,16-c-1-4,16,c,4,1,785,2017-06-07T14:51:06Z,688.95,540825.75,2017-06-07T14:46:11Z,0.003414351851851852,0.08194444444444444,48
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-4-2_summary,16-c-2-4,16,c,4,2,897,2017-06-07T14:52:29Z,740.43,664165.71,2017-06-07T14:46:11Z,0.004375,0.105,49
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-4-3_summary,16-c-3-4,16,c,4,3,377,2017-06-07T14:53:56Z,661.66,249445.81999999998,2017-06-07T14:46:11Z,0.005381944444444444,0.12916666666666668,50
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-4-4_summary,16-c-4-4,16,c,4,4,109,2017-06-07T14:55:53Z,555.61,60561.49,2017-06-07T14:46:11Z,0.006736111111111111,0.16166666666666665,51
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-5-1_summary,16-c-1-5,16,c,5,1,538,2017-06-07T14:57:09Z,4908.71,2640885.98,2017-06-07T14:46:11Z,0.007615740740740741,0.1827777777777778,52
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-5-2_summary,16-c-2-5,16,c,5,2,269,2017-06-07T14:58:26Z,1191.5,320513.5,2017-06-07T14:46:11Z,0.008506944444444444,0.20416666666666666,53
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-5-3_summary,16-c-3-5,16,c,5,3,161,2017-06-07T14:59:44Z,182.86,29440.460000000003,2017-06-07T14:46:11Z,0.009409722222222222,0.22583333333333333,54
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-5-4_summary,16-c-4-5,16,c,5,4,377,2017-06-07T15:01:03Z,765.31,288521.87,2017-06-07T14:46:11Z,0.010324074074074074,0.2477777777777778,55
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-1-1_summary,20-c-1-1,20,c,1,1,323,2017-06-07T15:57:41Z,986.14,318523.22,2017-06-07T14:46:11Z,0.049652777777777775,1.1916666666666667,56
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-1-2_summary,20-c-2-1,20,c,1,2,377,2017-06-07T15:58:56Z,1102.13,415503.01000000007,2017-06-07T14:46:11Z,0.050520833333333334,1.2125,57
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-1-3_summary,20-c-3-1,20,c,1,3,1170,2017-06-07T16:00:37Z,1003.89,1174551.3,2017-06-07T14:46:11Z,0.05168981481481481,1.2405555555555556,58
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-1-4_summary,20-c-4-1,20,c,1,4,916,2017-06-07T16:02:43Z,1081.29,990461.64,2017-06-07T14:46:11Z,0.053148148148148146,1.2755555555555556,59
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-2-1_summary,20-c-1-2,20,c,2,1,592,2017-06-07T16:04:17Z,797.75,472268,2017-06-07T14:46:11Z,0.05423611111111111,1.3016666666666667,60
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-2-2_summary,20-c-2-2,20,c,2,2,592,2017-06-07T16:05:47Z,766.5,453768,2017-06-07T14:46:11Z,0.05527777777777778,1.3266666666666667,61
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-2-3_summary,20-c-3-2,20,c,2,3,645,2017-06-07T16:07:05Z,1169.15,754101.7500000001,2017-06-07T14:46:11Z,0.05618055555555555,1.3483333333333334,62
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-2-4_summary,20-c-4-2,20,c,2,4,1332,2017-06-07T16:08:24Z,985.65,1312885.8,2017-06-07T14:46:11Z,0.05709490740740741,1.3702777777777777,63
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-3-1_summary,20-c-1-3,20,c,3,1,717,2017-06-07T16:10:55Z,375.55,269269.35000000003,2017-06-07T14:46:11Z,0.05884259259259259,1.4122222222222223,64
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-3-2_summary,20-c-2-3,20,c,3,2,958,2017-06-07T16:13:11Z,784.73,751771.34,2017-06-07T14:46:11Z,0.06041666666666667,1.45,65
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-3-4_summary,20-c-4-3,20,c,3,4,430,2017-06-07T15:41:35Z,817.21,351400.3,2017-06-07T14:46:11Z,0.03847222222222222,0.9233333333333333,66
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-4-1_summary,20-c-1-4,20,c,4,1,410,2017-06-07T15:43:34Z,852.47,349512.7,2017-06-07T14:46:11Z,0.03984953703703704,0.9563888888888888,67
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-4-2_summary,20-c-2-4,20,c,4,2,289,2017-06-07T15:47:10Z,1403.29,405550.81,2017-06-07T14:46:11Z,0.04234953703703704,1.0163888888888888,68
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-4-3_summary,20-c-3-4,20,c,4,3,644,2017-06-07T15:48:08Z,822.74,529844.56,2017-06-07T14:46:11Z,0.043020833333333335,1.0325,69
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-4-4_summary,20-c-4-4,20,c,4,4,861,2017-06-07T15:49:54Z,915.39,788150.79,2017-06-07T14:46:11Z,0.04424768518518519,1.0619444444444444,70
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-5-1_summary,20-c-1-5,20,c,5,1,1721,2017-06-07T15:51:12Z,1136.09,1955210.89,2017-06-07T14:46:11Z,0.04515046296296296,1.083611111111111,71
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-5-2_summary,20-c-2-5,20,c,5,2,592,2017-06-07T15:53:04Z,1334.88,790248.9600000001,2017-06-07T14:46:11Z,0.04644675925925926,1.1147222222222222,72
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-5-3_summary,20-c-3-5,20,c,5,3,592,2017-06-07T15:54:34Z,868.14,513938.88,2017-06-07T14:46:11Z,0.04748842592592593,1.1397222222222223,73
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20c-5-4_summary,20-c-4-5,20,c,5,4,1291,2017-06-07T15:55:56Z,866.94,1119219.54,2017-06-07T14:46:11Z,0.0484375,1.1625,74
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-1-1_summary,20-v-1-1,20,v,1,1,820,2017-06-07T20:51:46Z,724.82,594352.4,2017-06-07T14:46:11Z,0.2538773148148148,6.093055555555556,75
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-1-2_summary,20-v-2-1,20,v,1,2,404,2017-06-07T20:53:36Z,683.68,276206.72,2017-06-07T14:46:11Z,0.25515046296296295,6.123611111111111,76
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-1-3_summary,20-v-3-1,20,v,1,3,308,2017-06-07T20:55:09Z,567.7,174851.6,2017-06-07T14:46:11Z,0.25622685185185184,6.149444444444445,77
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-2-1_summary,20-v-1-2,20,v,2,1,707,2017-06-07T20:58:42Z,706.93,499799.50999999995,2017-06-07T14:46:11Z,0.2586921296296296,6.208611111111111,78
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-2-2_summary,20-v-2-2,20,v,2,2,980,2017-06-07T21:00:20Z,789.92,774121.6,2017-06-07T14:46:11Z,0.25982638888888887,6.235833333333333,79
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-2-3_summary,20-v-3-2,20,v,2,3,104,2017-06-07T21:01:58Z,479.53,49871.119999999995,2017-06-07T14:46:11Z,0.2609606481481481,6.263055555555556,80
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-2-4_summary,20-v-4-2,20,v,2,4,195,2017-06-07T21:03:31Z,588.87,114829.65,2017-06-07T14:46:11Z,0.262037037037037,6.288888888888889,81
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-3-1_summary,20-v-1-3,20,v,3,1,299,2017-06-07T21:05:06Z,471.7,141038.3,2017-06-07T14:46:11Z,0.2631365740740741,6.315277777777778,82
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-3-2_summary,20-v-2-3,20,v,3,2,606,2017-06-07T21:06:44Z,843.33,511057.98000000004,2017-06-07T14:46:11Z,0.26427083333333334,6.3425,83
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-3-3_summary,20-v-3-3,20,v,3,3,292,2017-06-07T20:01:40Z,536.36,156617.12,2017-06-07T14:46:11Z,0.21908564814814815,5.258055555555556,84
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-3-4_summary,20-v-4-3,20,v,3,4,588,2017-06-07T20:03:20Z,738.86,434449.68,2017-06-07T14:46:11Z,0.22024305555555557,5.285833333333334,85
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-4-1_summary,20-v-1-4,20,v,4,1,588,2017-06-07T20:04:57Z,527.16,309970.07999999996,2017-06-07T14:46:11Z,0.22136574074074075,5.312777777777778,86
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-4-2_summary,20-v-2-4,20,v,4,2,801,2017-06-07T20:06:34Z,588.09,471060.09,2017-06-07T14:46:11Z,0.22248842592592594,5.339722222222222,87
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-4-3_summary,20-v-3-4,20,v,4,3,389,2017-06-07T20:08:07Z,742.71,288914.19,2017-06-07T14:46:11Z,0.22356481481481483,5.365555555555556,88
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-4-4_summary,20-v-4-4,20,v,4,4,501,2017-06-07T20:09:54Z,543.08,272083.08,2017-06-07T14:46:11Z,0.22480324074074073,5.395277777777777,89
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-5-1_summary,20-v-1-5,20,v,5,1,681,2017-06-07T20:11:30Z,771.67,525507.27,2017-06-07T14:46:11Z,0.22591435185185185,5.421944444444445,90
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-5-2_summary,20-v-2-5,20,v,5,2,596,2017-06-07T20:13:08Z,587.62,350221.52,2017-06-07T14:46:11Z,0.2270486111111111,5.449166666666667,91
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-5-3_summary,20-v-3-5,20,v,5,3,482,2017-06-07T20:14:45Z,728.24,351011.68,2017-06-07T14:46:11Z,0.2281712962962963,5.476111111111111,92
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/20v-5-4_summary,20-v-4-5,20,v,5,4,568,2017-06-07T20:16:27Z,673.15,382349.2,2017-06-07T14:46:11Z,0.22935185185185186,5.504444444444444,93
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-1-1_summary,24-c-1-1,24,c,1,1,1013,2017-06-07T17:28:07Z,1381.09,1399044.17,2017-06-07T14:46:11Z,0.11245370370370371,2.698888888888889,94
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-1-2_summary,24-c-2-1,24,c,1,2,1076,2017-06-07T17:29:23Z,1035.97,1114703.72,2017-06-07T14:46:11Z,0.11333333333333333,2.72,95
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-1-3_summary,24-c-3-1,24,c,1,3,698,2017-06-07T17:32:00Z,1150.26,802881.48,2017-06-07T14:46:11Z,0.11515046296296297,2.763611111111111,96
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-1-4_summary,24-c-4-1,24,c,1,4,914,2017-06-07T17:33:22Z,1089.32,995638.48,2017-06-07T14:46:11Z,0.11609953703703704,2.786388888888889,97
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-2-1_summary,24-c-1-2,24,c,2,1,746,2017-06-07T17:34:40Z,802.35,598553.1,2017-06-07T14:46:11Z,0.11700231481481481,2.8080555555555557,98
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-2-2_summary,24-c-2-2,24,c,2,2,713,2017-06-07T17:36:38Z,1342.94,957516.2200000001,2017-06-07T14:46:11Z,0.11836805555555556,2.8408333333333333,99
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-2-3_summary,24-c-3-2,24,c,2,3,861,2017-06-07T17:37:56Z,1051.89,905677.29,2017-06-07T14:46:11Z,0.11927083333333334,2.8625,100
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-2-4_summary,24-c-4-2,24,c,2,4,698,2017-06-07T17:39:20Z,1000.16,698111.6799999999,2017-06-07T14:46:11Z,0.12024305555555556,2.8858333333333333,101
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-3-1_summary,24-c-1-3,24,c,3,1,968,2017-06-07T17:41:04Z,1029.55,996604.3999999999,2017-06-07T14:46:11Z,0.12144675925925925,2.914722222222222,102
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-3-3_summary,24-c-3-3,24,c,3,3,575,2017-06-07T18:57:53Z,748.48,430376,2017-06-07T14:46:11Z,0.17479166666666668,4.195,103
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-3-4_summary,24-c-4-3,24,c,3,4,879,2017-06-07T18:59:23Z,662.03,581924.37,2017-06-07T14:46:11Z,0.17583333333333334,4.22,104
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-4-1_summary,24-c-1-4,24,c,4,1,451,2017-06-07T19:01:04Z,793.66,357940.66,2017-06-07T14:46:11Z,0.17700231481481482,4.248055555555555,105
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-4-2_summary,24-c-2-4,24,c,4,2,469,2017-06-07T19:02:54Z,932.46,437323.74,2017-06-07T14:46:11Z,0.17827546296296296,4.278611111111111,106
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-4-3_summary,24-c-3-4,24,c,4,3,350,2017-06-07T19:04:41Z,772.73,270455.5,2017-06-07T14:46:11Z,0.1795138888888889,4.308333333333334,107
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-5-1_summary,24-c-1-5,24,c,5,1,937,2017-06-07T19:08:41Z,728.05,682182.85,2017-06-07T14:46:11Z,0.18229166666666666,4.375,108
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-5-2_summary,24-c-2-5,24,c,5,2,343,2017-06-07T19:10:30Z,756.56,259500.08,2017-06-07T14:46:11Z,0.18355324074074075,4.405277777777778,109
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-5-3_summary,24-c-3-5,24,c,5,3,616,2017-06-07T19:12:15Z,1020.97,628917.52,2017-06-07T14:46:11Z,0.18476851851851853,4.434444444444445,110
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/24c-5-4_summary,24-c-4-5,24,c,5,4,971,2017-06-07T19:13:54Z,738.3,716889.2999999999,2017-06-07T14:46:11Z,0.18591435185185184,4.461944444444445,111
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-1-1_summary,27-c-1-1,27,c,1,1,400,2017-06-07T18:00:01Z,1162.82,465128,2017-06-07T14:46:11Z,0.1346064814814815,3.2305555555555556,112
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-1-2_summary,27-c-2-1,27,c,1,2,991,2017-06-07T18:01:54Z,965.92,957226.72,2017-06-07T14:46:11Z,0.13591435185185186,3.2619444444444445,113
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-1-3_summary,27-c-3-1,27,c,1,3,323,2017-06-07T18:03:07Z,912.26,294659.98,2017-06-07T14:46:11Z,0.13675925925925925,3.2822222222222224,114
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/27c-1-4_summary,27-c-4-1,27,c,1,4,550,2017-06-07T18:06:44Z,854.57,470013.5,2017-06-07T14:46:11Z,0.13927083333333334,3.3425,115
