replicate,run,a,b,w,z,sigma,isConv,finTol,logLik,AIC,BIC,deviance,df.residual
791,1010,0.2606931818676183,0.12425602052975067,34.12291713237968,14.335416847301465,2329.7699639826114,TRUE,1.4901161193847656e-8,-520.756769181155,1051.51353836231,1061.728794701483,287674888.5090035,53
792,232,0.19567624902266073,0.1435354802324593,45,8.925804286296342,1979.2007831186081,TRUE,1.4901161193847656e-8,-511.46141344242744,1032.9228268848549,1043.1380832240277,207613494.2145575,53
793,382,0.22010928682891767,0.13432905511105914,38.01126128950117,12.416495276143959,2320.417707120547,TRUE,1.4901161193847656e-8,-520.5274969893355,1051.054993978671,1061.2702503178439,285369931.7824846,53
794,573,0.18864651909944008,0.14496562911861688,45,8.930801629576104,2182.703525037542,TRUE,1.4901161193847656e-8,-517.0400683780101,1044.0801367560202,1054.295393095193,252502317.94519946,53
795,374,0.19675711722183772,0.13867424102600898,39.892345667010176,11.463835429367835,2162.995377266026,TRUE,1.4901161193847656e-8,-516.523064255192,1043.046128510384,1053.2613848495569,247963097.10993248,53
796,1150,0.2286893262605169,0.12963220329939415,35.43199469711542,13.682516747230862,2161.5236092446785,TRUE,1.4901161193847656e-8,-516.484266515736,1042.968533031472,1053.1837893706447,247625768.60607347,53
797,786,0.22847909118207704,0.12749765135284846,33.66840906109283,14.554000120321122,2204.9041261681505,TRUE,1.4901161193847656e-8,-517.616895279786,1045.233790559572,1055.4490468987449,257664916.89644673,53
798,1240,0.24653532509024342,0.12722431559691885,35.20701283049839,13.797702349943865,2172.9160910026344,TRUE,1.4901161193847656e-8,-516.7839006093984,1043.5678012187968,1053.7830575579696,250242909.94252294,53
799,64,0.9347816462062047,0.05420676642610354,26.632401783282106,19.157605190508466,3158.5780751479133,TRUE,1.4901161193847656e-8,-538.1048568538762,1086.2097137077524,1096.4249700469252,528760619.2106701,53
800,1233,0.2514071176528026,0.12548819702388517,34.42326713184277,14.181817717394905,1989.1893987886167,TRUE,1.4901161193847656e-8,-511.74835714981197,1033.4967142996238,1043.7119706387966,209714346.60540998,53
801,951,0.25254213575850865,0.12350573947506102,33.30066943349376,14.728209191820113,2175.917241980247,TRUE,1.4901161193847656e-8,-516.8625725748577,1043.7251451497154,1053.9404014888883,250934639.729187,53
802,1308,0.26689422777043564,0.12353603358824061,34.03576906532569,14.380976013625885,2070.1653528549114,TRUE,1.4901161193847656e-8,-514.022729325113,1038.045458650226,1048.2607149893988,227135983.17252773,53
803,1193,0.22492286618213148,0.13211379929395783,36.98485106219548,12.917368124083755,2398.6411349914943,TRUE,1.4901161193847656e-8,-522.4173415429711,1054.8346830859423,1065.049939425115,304934402.60708404,53
