x,q2.5,q97.5,mean
0.88,0.06579680305956673,0.15580526043397439,0.11240066246267993
0.89,0.06614916671601828,0.15607463716492734,0.11269747194741812
0.9,0.06650188487801544,0.15634432056207703,0.11299461643598199
0.91,0.06685495772333172,0.15661431086933963,0.11329209616442033
0.92,0.06720838542963933,0.1568846083306829,0.11358991136878416
0.93,0.0675621681745089,0.157155213190126,0.11388806228512642
0.9400000000000001,0.06791630613540882,0.15742612569173917,0.11418654914950153
0.9500000000000001,0.06827079948970494,0.1576973460796433,0.11448537219796509
0.96,0.06862564841466012,0.15796887459801,0.11478453166657344
0.97,0.0689808530874338,0.1582407114910609,0.11508402779138334
0.98,0.06933641368508146,0.15851285700306728,0.1153838608084515
0.99,0.06969233038455452,0.15878531137835022,0.11568403095383437
1,0.07004860336269947,0.1590580748612799,0.11598453846358761
